method,variant,display_label,benchmark,cells_per_side,cell_size,case_count,mixed_cell_count,arc_count,line_count,concave_arc_count,merged_cell_count,c0_adjustment_events,c0_rejection_events,native_symmetric_hausdorff_median,native_symmetric_hausdorff_q25,native_symmetric_hausdorff_q75,geometric_curvature_mean_absolute_error_median,geometric_curvature_mean_absolute_error_q25,geometric_curvature_mean_absolute_error_q75,geometric_curvature_rms_error_median,geometric_curvature_rms_error_q25,geometric_curvature_rms_error_q75,geometric_curvature_relative_l1_error_median,geometric_curvature_relative_l1_error_q25,geometric_curvature_relative_l1_error_q75,production_facet_gap_median,production_facet_gap_q25,production_facet_gap_q75,concave_arc_fraction_median,concave_arc_fraction_q25,concave_arc_fraction_q75,concave_arc_length_fraction_median,concave_arc_length_fraction_q25,concave_arc_length_fraction_q75,signed_curvature_arc_length_mean_median,signed_curvature_arc_length_mean_q25,signed_curvature_arc_length_mean_q75,native_symmetric_hausdorff_fit_order,geometric_curvature_mean_absolute_error_fit_order,production_facet_gap_fit_order
Ours,per-cell circular,Ours (per-cell circular),ellipses,32,3.125,5,310,310,0,0,0,0,0,0.01038495670679101,0.007686243759298198,0.011902332187096581,0.0013827770800821741,0.0012365569394624748,0.001555995063145504,0.002128722160577644,0.001900730904020902,0.002509282437814757,0.033982039502856005,0.030788313901340264,0.03778367945651811,0.004464033981152754,0.003554018492216181,0.004783226729420834,0.0,0.0,0.0,0.0,0.0,0.0,0.040725018394696,0.04022304898101017,0.04125784800844661,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,per-cell circular,Ours (per-cell circular),ellipses,64,1.5625,5,624,624,0,0,0,0,0,0.001233733941624186,0.0010094452500104723,0.0017199439204679894,0.0006869149408435222,0.0005895532836297536,0.0008219358854716257,0.001096962858065403,0.000928312387969442,0.0013380471459155472,0.016881171892000574,0.014678163147891781,0.019957838328829636,0.000562200084586468,0.0004906319866675869,0.0005647738689812709,0.0,0.0,0.0,0.0,0.0,0.0,0.04069979240553641,0.04016882262741259,0.0412037621217829,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,per-cell circular,Ours (per-cell circular),ellipses,128,0.78125,5,1250,1250,0,0,0,0,0,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.00035256043095532375,0.0003086802002540704,0.00041030981550010427,0.0005663902595193414,0.00048317164117595593,0.0006745096807087231,0.008664343644429641,0.00768529441885141,0.009962911593031623,6.945110757804856e-05,5.705915414194652e-05,7.078389664987233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04069423294304324,0.04016740169011776,0.041188657997575345,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,32,3.125,5,310,310,0,0,0,0,0,0.01038495670679101,0.007686243759298198,0.011902332187096581,0.0013827770800821741,0.0012365569394624748,0.001555995063145504,0.002128722160577644,0.001900730904020902,0.002509282437814757,0.033982039502856005,0.030788313901340264,0.03778367945651811,0.004464033981152754,0.003554018492216181,0.004783226729420834,0.0,0.0,0.0,0.0,0.0,0.0,0.040725018394696,0.04022304898101017,0.04125784800844661,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,64,1.5625,5,624,624,0,0,0,0,0,0.001233733941624186,0.0010094452500104723,0.0017199439204679894,0.0006869149408435222,0.0005895532836297536,0.0008219358854716257,0.001096962858065403,0.000928312387969442,0.0013380471459155472,0.016881171892000574,0.014678163147891781,0.019957838328829636,0.000562200084586468,0.0004906319866675869,0.0005647738689812709,0.0,0.0,0.0,0.0,0.0,0.0,0.04069979240553641,0.04016882262741259,0.0412037621217829,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,128,0.78125,5,1250,1250,0,0,0,0,0,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.00035256043095532375,0.0003086802002540704,0.00041030981550010427,0.0005663902595193414,0.00048317164117595593,0.0006745096807087231,0.008664343644429641,0.00768529441885141,0.009962911593031623,6.945110757804856e-05,5.705915414194652e-05,7.078389664987233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04069423294304324,0.04016740169011776,0.041188657997575345,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,32,3.125,5,310,310,0,0,0,297,13,0.003569650996053655,0.003066853908660894,0.005024425483758663,0.0014956971960842628,0.0013084168931874883,0.0016580058782946561,0.0022754915848057426,0.0019051423071827027,0.002570662599598627,0.03675730219371631,0.032575916279559004,0.040258703056011036,2.9227142969679952e-05,2.7220303041749125e-05,3.8151456977866546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.040724662921649016,0.04015395360969363,0.041165042778884504,3.3105279696321297,1.0533371556116795,2.2220849025425156
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,64,1.5625,5,624,623,1,0,0,591,33,0.00028509717670104664,0.000263197789650191,0.00036636238837345266,0.0006962904854967998,0.0006082386471887748,0.00085223975806991,0.0010545021000500324,0.0009183050488102474,0.0013685955621054813,0.017111622629594554,0.0151434649356613,0.0206935202563548,4.982807594748394e-06,4.424202339225848e-06,5.172810718212517e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.040692918158404895,0.040168996236236175,0.041200415783199336,3.3105279696321297,1.0533371556116795,2.2220849025425156
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,128,0.78125,5,1250,1247,3,0,0,1155,95,3.626513651403665e-05,3.582892137418839e-05,4.790997724097066e-05,0.0003472734013393225,0.00030320130370535434,0.00040788063903414977,0.0005354040418434081,0.00047746147626222344,0.0006685014699591845,0.008534383337702778,0.0075488739913681735,0.009903886719570999,1.3426349462061386e-06,1.1383075274631625e-06,1.4303833510617614e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.04069002100879239,0.04016617260680074,0.04118627369924975,3.3105279696321297,1.0533371556116795,2.2220849025425156
