method,variant,display_label,benchmark,case_index,cells_per_side,cell_size,source_run,source_commit,canonical_geometry_match,do_c0,num_mixed_cells,num_merged_cells,num_merged_components,c0_adjustment_events,c0_rejection_events,primitive_count,arc_count,line_count,concave_arc_count,concave_arc_fraction,concave_arc_length_fraction,signed_curvature_arc_length_mean,native_symmetric_hausdorff,native_reconstruction_to_truth,native_truth_to_reconstruction,geometric_curvature_mean_absolute_error,geometric_curvature_rms_error,geometric_curvature_max_absolute_error,geometric_curvature_relative_l1_error,geometric_curvature_reconstructed_length,geometric_curvature_quadrature_samples,production_facet_gap,production_global_relative_area_error
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,2,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,124,0,0,0,0,124,124,0,0,0.0,0.0,0.04069979240553641,0.001233733941624186,0.001233733941624186,0.0012334538992778581,0.0006869149408435222,0.001096962858065403,0.005174605677156427,0.016881171892000574,154.41345166898512,1984,0.0005647738689812709,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,3,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,122,0,0,0,0,122,122,0,0,0.0,0.0,0.0412037621217829,0.0017199439204679894,0.0017199439204679894,0.0016415145060596496,0.0008219358854716257,0.0013380471459155472,0.005826414531588012,0.019957838328829636,152.56346646223767,1952,0.000562200084586468,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,4,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,124,0,0,0,0,124,124,0,0,0.0,0.0,0.041621762689522716,0.0021364467465840647,0.0021364467465840647,0.002133884397285929,0.0009047453642246239,0.0014813247906939084,0.007363778936761267,0.021724213735986656,150.87094370809876,1984,0.0008385222897946481,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,0,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,258,0,0,0,0,258,258,0,0,0.0,0.0,0.03960402704345059,0.00013468312842758478,0.00013468312842758478,0.00013248299138354642,0.00025459420585063165,0.0003856118031079794,0.0016531801265672053,0.006428660855668877,158.65454271452597,4128,5.5615473603710755e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,1,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,252,0,0,0,0,252,252,0,0,0.0,0.0,0.04016740169011776,0.00014231318976173695,0.00014231318976173695,0.0001353659197179451,0.0003086802002540704,0.00048317164117595593,0.0023202057435850673,0.00768529441885141,156.43392242641696,4032,5.705915414194652e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,2,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,248,0,0,0,0,248,248,0,0,0.0,0.0,0.04069423294304324,0.0001832118744287341,0.0001832118744287341,0.00018301771190652944,0.00035256043095532375,0.0005663902595193414,0.0025995608315438623,0.008664343644429641,154.4113574201079,3968,6.945110757804856e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,3,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,244,0,0,0,0,244,244,0,0,0.0,0.0,0.041188657997575345,0.00019966498688505757,0.00019966498688505757,0.0001919566871592768,0.00041030981550010427,0.0006745096807087231,0.0032672686977584103,0.009962911593031623,152.563783319435,3904,7.078389664987233e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,4,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,False,248,0,0,0,0,248,248,0,0,0.0,0.0,0.04164025344945713,0.0002694262568834714,0.0002694262568834714,0.0002693183905245192,0.0004487860018686267,0.0007360723931768925,0.0038800487394946848,0.010776123095524313,150.8709050900834,3968,0.00010505753438301434,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,0,32,3.125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n32,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,64,0,0,62,2,64,64,0,0,0.0,0.0,0.03960786820680797,0.001974011577367805,0.001974011577367805,0.001974004653362961,0.0011328208947940471,0.0016315699226010516,0.005897968515392878,0.02860443861269869,158.65477975390323,1024,1.6325116144910723e-05,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,1,32,3.125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n32,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,62,0,0,59,3,62,62,0,0,0.0,0.0,0.04015395360969363,0.003066853908660894,0.003066853908660894,0.003066835452956092,0.0013084168931874883,0.0019051423071827027,0.006662198165823259,0.032575916279559004,156.43439879561868,992,3.8151456977866546e-05,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,2,32,3.125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n32,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,62,0,0,58,4,62,62,0,0,0.0,0.0,0.040724662921649016,0.003569650996053655,0.003569650996053655,0.003569620130898924,0.0014956971960842628,0.0022754915848057426,0.011856902898824406,0.03675730219371631,154.41063566436387,992,7.27674111625525e-05,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,3,32,3.125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n32,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,60,0,0,58,2,60,60,0,0,0.0,0.0,0.041165042778884504,0.005024425483758663,0.005024425483758663,0.005024332295873487,0.0016580058782946561,0.002570662599598627,0.010595080476971358,0.040258703056011036,152.56387332915122,960,2.7220303041749125e-05,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,4,32,3.125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n32,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,62,0,0,60,2,62,62,0,0,0.0,0.0,0.04173061361130753,0.0050441855539188766,0.0050441855539188766,0.005043949431135195,0.002122145565877375,0.004960474864114797,0.0741748636215587,0.05095673937446029,150.8716780425862,992,2.9227142969679952e-05,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,0,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,128,0,0,122,6,128,128,0,0,0.0,0.0,0.039603583470659544,0.0002566351600470979,0.0002566351600470979,0.000256635160047017,0.0005375232919032695,0.0007873985503789691,0.0030216312371489987,0.013572797656430307,158.65448981571626,2048,5.172810718212517e-06,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,1,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,126,0,0,122,4,126,126,0,0,0.0,0.0,0.040168996236236175,0.000263197789650191,0.000263197789650191,0.0002539234424230541,0.0006082386471887748,0.0009183050488102474,0.005684023191410842,0.0151434649356613,156.43396547943274,2016,4.424202339225848e-06,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,2,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,124,0,0,119,5,124,124,0,0,0.0,0.0,0.040692918158404895,0.00028509717670104664,0.00028509717670104664,0.0002672412879193722,0.0006962904854967998,0.0010545021000500324,0.003970222660112058,0.017111622629594554,154.4118228092642,1984,4.982807594748394e-06,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,3,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,122,0,0,113,9,122,121,1,0,0.0,0.0,0.041200415783199336,0.00036636238837345266,0.00036636238837345266,0.00036636238836523983,0.00085223975806991,0.0013685955621054813,0.04237653688327791,0.0206935202563548,152.5640861643092,1952,1.670556656475987e-05,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,4,64,1.5625,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n64,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,124,0,0,115,9,124,124,0,0,0.0,0.0,0.04163585495817944,0.0004749059625701957,0.0004749059625701957,0.0004740440588038081,0.0009495806403410547,0.0015518408839429476,0.008313267681252332,0.022801180868024462,150.87082704112885,1984,4.359318596568856e-06,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,0,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,258,0,0,244,14,258,258,0,0,0.0,0.0,0.03960311905161257,2.9709477235206675e-05,2.9709477235206675e-05,2.8638091959695073e-05,0.0002546881101849839,0.0003769725949219909,0.0015152982816104762,0.0064310355916454105,158.65439036588543,4128,4.897971453124493e-07,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,1,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,252,0,0,232,20,252,251,1,0,0.0,0.0,0.04016617260680074,3.582892137418839e-05,3.582892137418839e-05,3.4550903263817576e-05,0.00030320130370535434,0.00047746147626222344,0.042853835223895284,0.0075488739913681735,156.43402603331737,4032,1.3426349462061386e-06,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,2,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,248,0,0,235,13,248,248,0,0,0.0,0.0,0.04069002100879239,3.626513651403665e-05,3.626513651403665e-05,3.626513650083675e-05,0.0003472734013393225,0.0005354040418434081,0.002189004169801209,0.008534383337702778,154.41186953851332,3968,1.4303833510617614e-06,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,3,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,244,0,0,223,21,244,243,1,0,0.0,0.0,0.04118627369924975,4.790997724097066e-05,4.790997724097066e-05,4.790997723173969e-05,0.00040788063903414977,0.0006685014699591845,0.08213860290868683,0.009903886719570999,152.5641354519242,3904,2.1386501784669657e-06,nan
Ours,graph-coordinated circular + guarded C0,Ours (graph-coordinated circular + guarded C0),ellipses,4,128,0.78125,ellipse_circular_variants_common_metrics_20260814_graph_coordinated_circular_guarded_c0_n128,ad3f3cb9034e649cb79931d848e5e498ae41c34c,True,True,248,0,0,221,27,248,247,1,0,0.0,0.0,0.04164332571079171,6.627809897673443e-05,6.627809897673443e-05,6.62780989666943e-05,0.0004526129343052881,0.0007279300512473287,0.02373210153354661,0.010868063674611267,150.87075166014006,3968,1.1383075274631625e-06,nan
