benchmark,case_index,cells_per_side,cell_a,cell_b,current_mismatch,admissible_root_count,dense_minimum_mismatch,dense_minimum_parameter
squares,4,64,"(27, 34)","(28, 34)",2.9662370514410927e-11,1,0.0,0.40513333010773295
squares,4,64,"(28, 29)","(29, 29)",0.0013211520129950973,0,0.0013211520129950973,0.955777609343063
squares,4,64,"(28, 29)","(28, 30)",1.2946638132236228e-10,1,0.0,0.03707126305364454
squares,4,64,"(28, 30)","(28, 31)",1.0403149833107337e-10,1,0.0,0.8727777026963804
squares,4,64,"(28, 34)","(28, 35)",4.661925986235985e-11,1,0.0,0.2798319529308856
squares,4,64,"(28, 35)","(29, 35)",4.616450182985881e-13,1,0.0,0.23549450103924754
squares,4,64,"(29, 28)","(30, 28)",1.2954379560250176e-10,1,0.0,0.7611497134111324
squares,4,64,"(29, 28)","(29, 29)",1.36874738568481e-12,1,0.0,0.20106663013295928
squares,4,64,"(29, 35)","(29, 36)",1.1854762611890678e-10,1,0.0,0.08536568497338066
squares,4,64,"(29, 36)","(30, 36)",4.83390347215759e-10,1,0.0,0.07147496242993384
squares,4,64,"(30, 27)","(31, 27)",4.795015046070228e-11,1,0.0,0.5869482703402491
squares,4,64,"(30, 27)","(30, 28)",7.764199862090746e-12,1,0.0,0.37084490978192663
squares,4,64,"(30, 36)","(31, 36)",4.1613291577047745e-09,1,0.0,0.907124469345008
squares,4,64,"(31, 26)","(32, 26)",4.388114041677772e-11,2,0.0,0.7093754634686593
squares,4,64,"(31, 26)","(31, 27)",2.705838754276674e-12,1,0.0,0.6006348886107117
squares,4,64,"(31, 36)","(31, 37)",2.5303876733100945e-09,1,0.0,0.8914335379451268
squares,4,64,"(31, 37)","(32, 37)",1.6858401589335392e-10,1,0.0,0.7238053527651482
squares,4,64,"(32, 26)","(32, 27)",6.485086464881608e-11,1,0.0,0.5102368652565655
squares,4,64,"(32, 27)","(33, 27)",1.768793230524864e-11,1,0.0,0.4650189372913428
squares,4,64,"(32, 37)","(32, 38)",1.2388306928839437e-10,2,0.0,0.7487375053249343
squares,4,64,"(32, 38)","(33, 38)",1.0260541204963876e-11,2,0.0,0.32136007166141556
squares,4,64,"(33, 27)","(33, 28)",3.0626495656592898e-12,1,0.0,0.347497483729162
squares,4,64,"(33, 28)","(34, 28)",2.9635832770913246e-11,1,0.0,0.2931248742625212
squares,4,64,"(33, 37)","(34, 37)",5.033292975138735e-11,1,0.0,0.26818742661106626
squares,4,64,"(33, 37)","(33, 38)",4.373937835453375e-11,1,0.0,0.552422306559456
squares,4,64,"(34, 28)","(34, 29)",7.506026507196943e-11,1,0.0,0.15354666650000126
squares,4,64,"(34, 29)","(35, 29)",2.80255734990751e-11,1,0.0,0.12949995406191647
squares,4,64,"(34, 36)","(35, 36)",5.26434862100235e-10,1,0.0,0.08261216044511002
squares,4,64,"(34, 36)","(34, 37)",2.683403994982969e-11,1,0.0,0.7636083569966786
squares,4,64,"(35, 29)","(36, 29)",0.33066997932923403,0,0.025866394914371142,0.962890625
squares,4,64,"(35, 34)","(36, 34)",2.0450199400961293e-09,1,0.0,0.8872488478521927
squares,4,64,"(35, 34)","(35, 35)",1.644150781145146e-10,1,0.0,0.09441910271664256
squares,4,64,"(35, 35)","(35, 36)",2.572781999731166e-10,1,0.0,0.9306380499173383
squares,4,64,"(36, 29)","(36, 30)",0.0007235110957303998,0,0.0007235110957303998,0.9623037748073148
squares,4,64,"(36, 30)","(37, 30)",9.229893385691715e-11,1,0.0,0.797202719467955
squares,4,64,"(36, 33)","(37, 33)",8.444642847918618e-11,1,0.0,0.694940313083971
squares,4,64,"(36, 33)","(36, 34)",2.8285335062522364e-11,1,0.0,0.2591312764414897
squares,4,64,"(37, 30)","(37, 31)",4.025797506353368e-10,1,0.0,0.773800710180194
squares,4,64,"(37, 31)","(38, 31)",1.1149478478132163e-11,1,0.0,0.5752587524780666
squares,4,64,"(37, 32)","(38, 32)",5.3288639386372504e-11,1,0.0,0.5530295512736529
squares,4,64,"(37, 32)","(37, 33)",2.9393609530974167e-11,1,0.0,0.43776452102115854
squares,4,64,"(38, 31)","(38, 32)",2.0107608318882446e-10,2,0.0,0.7414775471932353
ellipses,3,64,"(20, 26)","(21, 26)",3.1204741696391304e-12,2,0.0,0.2690645678585997
ellipses,3,64,"(20, 26)","(20, 27)",8.390291746442589e-12,2,0.0,0.09683588193280684
ellipses,3,64,"(20, 27)","(20, 28)",1.0870501341244967e-11,2,0.0,0.1692135303182522
ellipses,3,64,"(20, 28)","(20, 29)",8.690486368940405e-13,2,0.0,0.21536563991643107
ellipses,3,64,"(20, 29)","(20, 30)",1.5962892678364865e-12,2,0.0,0.22682168501909017
ellipses,3,64,"(20, 30)","(20, 31)",2.6778043671768395e-12,2,0.0,0.20687439954045203
ellipses,3,64,"(20, 31)","(20, 32)",1.1043332242581654e-12,2,0.0,0.15529920865630628
ellipses,3,64,"(20, 32)","(20, 33)",2.1120300038459077e-11,2,0.0,0.07246954765843838
ellipses,3,64,"(20, 33)","(21, 33)",6.594563572464727e-11,2,0.0,0.6652745225999024
ellipses,3,64,"(21, 21)","(22, 21)",4.043797010627045e-11,1,0.0,0.5969516210427491
ellipses,3,64,"(21, 21)","(21, 22)",4.023601792728334e-11,2,0.0,0.1249019999260463
ellipses,3,64,"(21, 22)","(21, 23)",3.625833051520193e-12,1,0.0,0.4108712752944439
ellipses,3,64,"(21, 23)","(21, 24)",2.3205343876307516e-12,1,0.0,0.6177471925837381
ellipses,3,64,"(21, 24)","(21, 25)",4.926661396889326e-11,2,0.0,0.90646960978685
ellipses,3,64,"(21, 25)","(21, 26)",2.6760471657187546e-11,2,0.0,0.5066038568852036
ellipses,3,64,"(21, 33)","(21, 34)",1.3731686428246728e-09,2,0.0,0.9582696811593678
ellipses,3,64,"(21, 34)","(21, 35)",7.857629660940329e-12,2,0.0,0.8123815261770505
ellipses,3,64,"(21, 35)","(21, 36)",1.1671566596550353e-11,1,0.0,0.6341981609922732
ellipses,3,64,"(21, 36)","(21, 37)",5.021077551484128e-12,1,0.0,0.42281524571360024
ellipses,3,64,"(21, 37)","(21, 38)",5.2683445754111265e-12,2,0.0,0.17697405667958266
ellipses,3,64,"(21, 38)","(22, 38)",2.165658922810754e-11,2,0.0,0.6428327010962266
ellipses,3,64,"(22, 19)","(23, 19)",1.8795990416768645e-11,2,0.0,0.20586907393158982
ellipses,3,64,"(22, 19)","(22, 20)",1.0670714924114988e-11,1,0.0,0.41812743230030264
ellipses,3,64,"(22, 20)","(22, 21)",1.3675388162227156e-10,2,0.0,0.7917690541502316
ellipses,3,64,"(22, 38)","(22, 39)",7.373054915759701e-10,2,0.0,0.8950410232955255
ellipses,3,64,"(22, 39)","(22, 40)",9.601733330538075e-12,1,0.0,0.5748362088594832
ellipses,3,64,"(22, 40)","(22, 41)",2.182162785513207e-12,2,0.0,0.21359111203521025
ellipses,3,64,"(22, 41)","(23, 41)",4.241941129703506e-11,1,0.0,0.540601290503755
ellipses,3,64,"(23, 17)","(24, 17)",4.183636501125244e-11,1,0.0,0.38783747524560797
ellipses,3,64,"(23, 17)","(23, 18)",4.052811194147122e-12,1,0.0,0.4853158864037732
ellipses,3,64,"(23, 18)","(23, 19)",9.861189172347228e-12,2,0.0,0.31167128990595755
ellipses,3,64,"(23, 41)","(23, 42)",1.823875616038881e-11,2,0.0,0.8077621802183785
ellipses,3,64,"(23, 42)","(23, 43)",8.654106900899856e-12,1,0.0,0.35255910504259647
ellipses,3,64,"(23, 43)","(24, 43)",1.2756361748124555e-10,1,0.0,0.7025322986825541
ellipses,3,64,"(24, 16)","(25, 16)",1.7340994373572585e-09,1,0.0,0.051223904675407536
