benchmark,case_index,cells_per_side,sweeps_completed,displacement_converged,final_max_update_displacement,final_max_c1_mismatch,edge_joins,joins_without_admissible_root,worst_current_mismatch_without_root,best_dense_mismatch_without_root,worst_dense_mismatch_without_root
circles,2,64,26,True,4.621823757045007e-12,0.07873045435447928,50,3,0.07873045435447928,1.8509475858491742e-05,0.020505915056974532
ellipses,3,64,100,False,7.50660297810235e-10,0.8932353858592709,122,8,0.8932353858592709,1.4249322553299339e-06,0.28734549159923983
lines,3,64,100,False,4.1757760443905667e-10,0.9826430248935522,123,11,0.9826430248935522,5.00249363158784e-08,0.15107777553294446
squares,4,64,100,False,2.3255746287031975e-11,0.33066997932923403,48,3,0.33066997932923403,0.0007235110957303998,0.025866394914371142
zalesak,2,64,100,False,2.4577909152334598e-11,0.9423212563651795,118,4,0.9423212563651795,1.8840128108936934e-05,0.0018926731115045546
