case_index,resolution_count,native_symmetric_hausdorff_fit_order,geometric_curvature_mean_absolute_error_fit_order
0,3,2.917318843776082,1.0308242995275407
1,3,2.7263954042782896,1.00107191040277
2,3,3.0107937334063664,0.9858130627518551
3,3,2.8503850133284656,0.961525955403244
4,3,3.0475508521457373,1.016830800482687
