method,variant,benchmark,cells_per_side,cell_size,case_count,primitive_count,arc_count,line_count,native_symmetric_hausdorff_median,native_symmetric_hausdorff_q25,native_symmetric_hausdorff_q75,native_reconstruction_to_truth_median,native_reconstruction_to_truth_q25,native_reconstruction_to_truth_q75,native_truth_to_reconstruction_median,native_truth_to_reconstruction_q25,native_truth_to_reconstruction_q75,geometric_curvature_mean_absolute_error_median,geometric_curvature_mean_absolute_error_q25,geometric_curvature_mean_absolute_error_q75,geometric_curvature_rms_error_median,geometric_curvature_rms_error_q25,geometric_curvature_rms_error_q75,geometric_curvature_relative_l1_error_median,geometric_curvature_relative_l1_error_q25,geometric_curvature_relative_l1_error_q75,native_symmetric_hausdorff_fit_order,native_symmetric_hausdorff_order_from_previous,geometric_curvature_mean_absolute_error_fit_order,geometric_curvature_mean_absolute_error_order_from_previous
Ours,graph-coordinated circular,ellipses,32,3.125,5,310,310,0,0.01038495670679101,0.007686243759298198,0.011902332187096581,0.010140371779213477,0.007686243759298198,0.011902332187096581,0.01038495670679101,0.007286949171084596,0.011257064712518802,0.0013827770800821741,0.0012365569394624748,0.001555995063145504,0.002128722160577644,0.001900730904020902,0.002509282437814757,0.033982039502856005,0.030788313901340264,0.03778367945651811,2.9124191901988357,nan,0.9858130627518551,nan
Ours,graph-coordinated circular,ellipses,64,1.5625,5,624,624,0,0.001233733941624186,0.0010094452500104723,0.0017199439204679894,0.001233733941624186,0.0009894192777059137,0.0017199439204679894,0.0012334538992778581,0.0010094452500104723,0.0016415145060596496,0.0006869149408435222,0.0005895532836297536,0.0008219358854716257,0.001096962858065403,0.000928312387969442,0.0013380471459155472,0.016881171892000574,0.014678163147891781,0.019957838328829636,2.9124191901988357,3.073391990145262,0.9858130627518551,1.0093652263537207
Ours,graph-coordinated circular,ellipses,128,0.78125,5,1250,1250,0,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.00018301771190652944,0.0001353659197179451,0.0001919566871592768,0.00035256043095532375,0.0003086802002540704,0.00041030981550010427,0.0005663902595193414,0.00048317164117595593,0.0006745096807087231,0.008664343644429641,0.00768529441885141,0.009962911593031623,2.9124191901988357,2.751446390252398,0.9858130627518551,0.9622608991499896
