method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json,bulge,chord_length,conservative_fallback,fallback_reasons_json
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,44,reconstructed,0.008790886108385316,0.008790886108385316,0.0,0.08877279668158979,0.08788311529972309,0.0008896813818666943,,,,"{""bulge"": -0.0006609037381051001, ""chord_length"": 0.2440473783251765, ""conservative_fallback"": false, ""curvature_midpoint"": 0.08877279668158979, ""fallback_reasons"": []}",-0.0006609037381051001,0.2440473783251765,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,45,reconstructed,0.1453533137921201,0.1453533137921201,0.0,0.08481994511050157,0.0846562782010319,0.000163666909469673,,,,"{""bulge"": -0.006952215549855444, ""chord_length"": 0.8097624133812165, ""conservative_fallback"": false, ""curvature_midpoint"": 0.08481994511050157, ""fallback_reasons"": []}",-0.006952215549855444,0.8097624133812165,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,46,reconstructed,0.29005668320995037,0.29005668320995037,0.0,0.07959233526587552,0.07959660296098747,4.267695111956349e-06,,,,"{""bulge"": -0.0063222292351210515, ""chord_length"": 0.7971581474703615, ""conservative_fallback"": false, ""curvature_midpoint"": 0.07959233526587552, ""fallback_reasons"": []}",-0.0063222292351210515,0.7971581474703615,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,47,reconstructed,0.3943341987932368,0.3943341987932368,0.0,0.07463513823167615,0.07460675840126185,2.837983041430181e-05,,,,"{""bulge"": -0.005805612938385112, ""chord_length"": 0.7888553254002497, ""conservative_fallback"": false, ""curvature_midpoint"": 0.07463513823167615, ""fallback_reasons"": []}",-0.005805612938385112,0.7888553254002497,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,48,reconstructed,0.46190676811798054,0.46190676811798054,0.0,0.06981255995004346,0.06980211112500052,1.0448825042932985e-05,,,,"{""bulge"": -0.005362414181252956, ""chord_length"": 0.7838958932866178, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06981255995004346, ""fallback_reasons"": []}",-0.005362414181252956,0.7838958932866178,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,49,reconstructed,0.4957923105345638,0.4957923105345638,0.0,0.06526184522797665,0.06525311885855402,8.726369422631941e-06,,,,"{""bulge"": -0.004983369687042448, ""chord_length"": 0.7815861808868724, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06526184522797665, ""fallback_reasons"": []}",-0.004983369687042448,0.7815861808868724,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,50,reconstructed,0.49847152278072676,0.49847152278072676,0.0,0.06100246056938504,0.06099767365599872,4.786913386317648e-06,,,,"{""bulge"": -0.0046559799402436965, ""chord_length"": 0.7814062261779264, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06100246056938504, ""fallback_reasons"": []}",-0.0046559799402436965,0.7814062261779264,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,51,reconstructed,0.4720055268819021,0.4720055268819021,0.0,0.057053503116176754,0.05705097153553654,2.531580640216524e-06,,,,"{""bulge"": -0.00437194420868901, ""chord_length"": 0.7829628233015923, ""conservative_fallback"": false, ""curvature_midpoint"": 0.057053503116176754, ""fallback_reasons"": []}",-0.00437194420868901,0.7829628233015923,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,52,reconstructed,0.4181213997909123,0.4181213997909123,0.0,0.05341543728698883,0.05341301915783178,2.4181291570501973e-06,,,,"{""bulge"": -0.0041245108338601585, ""chord_length"": 0.7859552581645164, ""conservative_fallback"": false, ""curvature_midpoint"": 0.05341543728698883, ""fallback_reasons"": []}",-0.0041245108338601585,0.7859552581645164,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,4,128,32,53,reconstructed,0.33827563284304973,0.33827563284304973,0.0,0.050070373101041114,0.050074133503814094,3.7604027729801204e-06,,,,"{""bulge"": -0.003907612461460989, ""chord_length"": 0.7901514158926425, ""conservative_fallback"": false, ""curvature_midpoint"": 0.050070373101041114, ""fallback_reasons"": []}",-0.003907612461460989,0.7901514158926425,False,[]
