method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json,bulge,chord_length,conservative_fallback,fallback_reasons_json
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,11,13,reconstructed,0.5009489586296212,0.5009489586296212,0.0,0.0668453866417196,0.06666666666666667,0.00017871997505293502,,,,"{""bulge"": -0.019114590764633378, ""chord_length"": 1.5124874365161485, ""conservative_fallback"": false, ""curvature_midpoint"": 0.0668453866417196, ""fallback_reasons"": []}",-0.019114590764633378,1.5124874365161485,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,11,14,reconstructed,4.197132899474699,4.197132899474699,0.0,0.0670315039499422,0.06666666666666667,0.0003648372832755348,,,,"{""bulge"": -0.09203613658512484, ""chord_length"": 3.314245701580893, ""conservative_fallback"": false, ""curvature_midpoint"": 0.0670315039499422, ""fallback_reasons"": []}",-0.09203613658512484,3.314245701580893,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,11,15,reconstructed,6.5004905714720245,6.5004905714720245,0.0,0.06705187629138402,0.06666666666666667,0.00038520962471735865,,,,"{""bulge"": -0.08311688252257285, ""chord_length"": 3.1490832999988214, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06705187629138402, ""fallback_reasons"": []}",-0.08311688252257285,3.1490832999988214,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,11,16,reconstructed,6.683872595918192,6.683872595918192,0.0,0.06704247942867315,0.06666666666666667,0.00037581276200648883,,,,"{""bulge"": -0.08244997238104936, ""chord_length"": 3.136643904023582, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06704247942867315, ""fallback_reasons"": []}",-0.08244997238104936,3.136643904023582,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,11,17,reconstructed,4.773812707596289,4.773812707596289,0.0,0.06703761169913114,0.06666666666666667,0.0003709450324644731,,,,"{""bulge"": -0.08967262295631923, ""chord_length"": 3.271264519767827, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06703761169913114, ""fallback_reasons"": []}",-0.08967262295631923,3.271264519767827,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,11,18,reconstructed,0.977860680400541,0.977860680400541,0.0,0.06685472314037466,0.06666666666666667,0.00018805647370799539,,,,"{""bulge"": -0.03770887123030077, ""chord_length"": 2.1242259620544557, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06685472314037466, ""fallback_reasons"": []}",-0.03770887123030077,2.1242259620544557,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,12,12,reconstructed,1.7653965191644583,1.7653965191644583,0.0,0.06688080017810104,0.06666666666666667,0.00021413351143437231,,,,"{""bulge"": -0.05581998777611531, ""chord_length"": 2.5839799041413802, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06688080017810104, ""fallback_reasons"": []}",-0.05581998777611531,2.5839799041413802,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,12,13,reconstructed,8.659460744555876,8.659460744555876,0.0,0.0668460740586265,0.06666666666666667,0.00017940739195983213,,,,"{""bulge"": -0.04109328864639292, ""chord_length"": 2.217647371039259, ""conservative_fallback"": false, ""curvature_midpoint"": 0.0668460740586265, ""fallback_reasons"": []}",-0.04109328864639292,2.217647371039259,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,12,18,reconstructed,9.256122739765814,9.256122739765814,0.0,0.06686425391150343,0.06666666666666667,0.00019758724483676104,,,,"{""bulge"": -0.018936365592856823, ""chord_length"": 1.5052072685252178, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06686425391150343, ""fallback_reasons"": []}",-0.018936365592856823,1.5052072685252178,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,12,19,reconstructed,2.90957388507589,2.90957388507589,0.0,0.06698059767299117,0.06666666666666667,0.0003139310063244999,,,,"{""bulge"": -0.09086239528082454, ""chord_length"": 3.2942956662305907, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06698059767299117, ""fallback_reasons"": []}",-0.09086239528082454,3.2942956662305907,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,13,11,reconstructed,0.5010082650036569,0.5010082650036569,0.0,0.06605343854462592,0.06666666666666667,0.000613228122040746,,,,"{""bulge"": -0.018890116353230398, ""chord_length"": 1.51256690805782, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06605343854462592, ""fallback_reasons"": []}",-0.018890116353230398,1.51256690805782,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,13,12,reconstructed,8.659510142916634,8.659510142916634,0.0,0.06695920588628461,0.06666666666666667,0.00029253921961794327,,,,"{""bulge"": -0.041167340398989276, ""chord_length"": 2.217768708451275, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06695920588628461, ""fallback_reasons"": []}",-0.041167340398989276,2.217768708451275,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,13,17,reconstructed,8.674778657289835,8.674778657289835,0.0,0.3712926219651694,0.0,0.3712926219651694,,,,"{""bulge"": 0.19126573687272794, ""chord_length"": 2.030043867787855, ""conservative_fallback"": false, ""curvature_midpoint"": -0.3712926219651694, ""fallback_reasons"": []}",0.19126573687272794,2.030043867787855,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,13,18,paper_fallback,8.23150663922138,8.23150663922138,0.0,0.4649727784765186,0.0,0.4649727784765186,,,,"{""bulge"": 0.3298517501540442, ""chord_length"": 2.3822680477420133, ""conservative_fallback"": true, ""curvature_midpoint"": -0.4649727784765186, ""fallback_reasons"": [""Section 2.5 correction retained the area-preserving local quadratic in (13, 18) (no-common-edge-endpoint)""]}",0.3298517501540442,2.3822680477420133,True,"[""Section 2.5 correction retained the area-preserving local quadratic in (13, 18) (no-common-edge-endpoint)""]"
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,13,19,paper_fallback,9.421126201637472,9.421126201637472,0.0,0.06688741731689256,0.06666666666666667,0.00022075065022589269,,,,"{""bulge"": -0.012241419419234654, ""chord_length"": 1.2100091905670158, ""conservative_fallback"": true, ""curvature_midpoint"": 0.06688741731689256, ""fallback_reasons"": [""Section 2.5 correction retained the area-preserving local quadratic in (13, 19) (no-common-edge-endpoint)"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((13, 19), (14, 19))""]}",-0.012241419419234654,1.2100091905670158,True,"[""Section 2.5 correction retained the area-preserving local quadratic in (13, 19) (no-common-edge-endpoint)"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((13, 19), (14, 19))""]"
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,13,20,reconstructed,1.4802315674037805,1.4802315674037805,0.0,0.06690416246493562,0.06666666666666667,0.00023749579826895517,,,,"{""bulge"": -0.05308642146998282, ""chord_length"": 2.519475558887565, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06690416246493562, ""fallback_reasons"": []}",-0.05308642146998282,2.519475558887565,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,14,11,reconstructed,4.197332425620218,4.197332425620218,0.0,0.06818396690449818,0.06666666666666667,0.0015173002378315176,,,,"{""bulge"": -0.09356078727004645, ""chord_length"": 3.3132239721530934, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06818396690449818, ""fallback_reasons"": []}",-0.09356078727004645,3.3132239721530934,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,14,16,reconstructed,7.228566584188229,7.228566584188229,0.0,0.015901621146940586,0.0,0.015901621146940586,,,,"{""bulge"": 0.02054537334053468, ""chord_length"": 3.215002471305726, ""conservative_fallback"": false, ""curvature_midpoint"": -0.015901621146940586, ""fallback_reasons"": []}",0.02054537334053468,3.215002471305726,False,[]
QUASI,QUASI (frozen Cartesian port),zalesak,4,32,14,17,reconstructed,0.8245179363764237,0.8245179363764237,0.0,0.11596053080019587,0.0,0.11596053080019587,,,,"{""bulge"": -0.04502864803029606, ""chord_length"": 1.7625212020274164, ""conservative_fallback"": false, ""curvature_midpoint"": 0.11596053080019587, ""fallback_reasons"": []}",-0.04502864803029606,1.7625212020274164,False,[]
