method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json,bulge,chord_length,conservative_fallback,fallback_reasons_json
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,10,reconstructed,0.06227257202999029,0.06227257202999029,0.0,0.03040716201769275,0.02952696373863898,0.0008801982790537718,,,,"{""bulge"": -0.0016356927832319147, ""chord_length"": 0.656006161062922, ""conservative_fallback"": false, ""curvature_midpoint"": 0.03040716201769275, ""fallback_reasons"": []}",-0.0016356927832319147,0.656006161062922,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,11,reconstructed,1.941491191083115,1.941491191083115,0.0,0.02721569049217796,0.0271314913014767,8.419919070126042e-05,,,,"{""bulge"": -0.035401573100832646, ""chord_length"": 3.225868020569171, ""conservative_fallback"": false, ""curvature_midpoint"": 0.02721569049217796, ""fallback_reasons"": []}",-0.035401573100832646,3.225868020569171,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,12,reconstructed,4.0113290155768695,4.0113290155768695,0.0,0.024124763997645165,0.024184562431316604,5.979843367143883e-05,,,,"{""bulge"": -0.03030285978037224, ""chord_length"": 3.1699708225942476, ""conservative_fallback"": false, ""curvature_midpoint"": 0.024124763997645165, ""fallback_reasons"": []}",-0.03030285978037224,3.1699708225942476,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,13,reconstructed,5.304143201320459,5.304143201320459,0.0,0.022182803856800586,0.022189382964646235,6.579107845648691e-06,,,,"{""bulge"": -0.027327709140180772, ""chord_length"": 3.1393402429483017, ""conservative_fallback"": false, ""curvature_midpoint"": 0.022182803856800586, ""fallback_reasons"": []}",-0.027327709140180772,3.1393402429483017,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,14,reconstructed,5.906172695271984,5.906172695271984,0.0,0.02086386589466785,0.02087720182866623,1.3335933998381844e-05,,,,"{""bulge"": -0.025488867158304406, ""chord_length"": 3.1262439850051438, ""conservative_fallback"": false, ""curvature_midpoint"": 0.02086386589466785, ""fallback_reasons"": []}",-0.025488867158304406,3.1262439850051438,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,15,reconstructed,5.867205562768,5.867205562768,0.0,0.020087880909120902,0.020096570020784753,8.689111663851001e-06,,,,"{""bulge"": -0.024552770735281514, ""chord_length"": 3.1270021891028756, ""conservative_fallback"": false, ""curvature_midpoint"": 0.020087880909120902, ""fallback_reasons"": []}",-0.024552770735281514,3.1270021891028756,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,16,reconstructed,5.21114191305491,5.21114191305491,0.0,0.01976313221344624,0.01976857745848405,5.445245037809243e-06,,,,"{""bulge"": -0.024359080216444784, ""chord_length"": 3.1401294231658214, ""conservative_fallback"": false, ""curvature_midpoint"": 0.01976313221344624, ""fallback_reasons"": []}",-0.024359080216444784,3.1401294231658214,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,17,reconstructed,3.9404286224212175,3.9404286224212175,0.0,0.019847806216178456,0.019866755600132846,1.894938395438986e-05,,,,"{""bulge"": -0.024864324491547116, ""chord_length"": 3.165753315794418, ""conservative_fallback"": false, ""curvature_midpoint"": 0.019847806216178456, ""fallback_reasons"": []}",-0.024864324491547116,3.165753315794418,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,18,reconstructed,2.0364909434593756,2.0364909434593756,0.0,0.020436267479499566,0.020411739419326787,2.452806017277931e-05,,,,"{""bulge"": -0.026250769769476816, ""chord_length"": 3.2056435229413487, ""conservative_fallback"": false, ""curvature_midpoint"": 0.020436267479499566, ""fallback_reasons"": []}",-0.026250769769476816,3.2056435229413487,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,10,19,reconstructed,0.14086118288074898,0.14086118288074898,0.0,0.021207061321720993,0.021048254410322112,0.0001588069113988809,,,,"{""bulge"": -0.00287762797758246, ""chord_length"": 1.041890482947703, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021207061321720993, ""fallback_reasons"": []}",-0.00287762797758246,1.041890482947703,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,11,8,reconstructed,0.31732398901074826,0.31732398901074826,0.0,0.04508217778820249,0.0446565123383243,0.00042566544987818894,,,,"{""bulge"": -0.00779865643580484, ""chord_length"": 1.1763930333259076, ""conservative_fallback"": false, ""curvature_midpoint"": 0.04508217778820249, ""fallback_reasons"": []}",-0.00779865643580484,1.1763930333259076,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,11,9,reconstructed,4.541217101589774,4.541217101589774,0.0,0.038492613711990364,0.0382362705886096,0.0002563431233807631,,,,"{""bulge"": -0.05885034001651091, ""chord_length"": 3.497283033518506, ""conservative_fallback"": false, ""curvature_midpoint"": 0.038492613711990364, ""fallback_reasons"": []}",-0.05885034001651091,3.497283033518506,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,11,10,reconstructed,8.652422046319955,8.652422046319955,0.0,0.031459688645122746,0.032048640294610256,0.0005889516494875097,,,,"{""bulge"": -0.027967787849958427, ""chord_length"": 2.666839270802507, ""conservative_fallback"": false, ""curvature_midpoint"": 0.031459688645122746, ""fallback_reasons"": []}",-0.027967787849958427,2.666839270802507,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,11,19,reconstructed,9.081116135133149,9.081116135133149,0.0,0.021549701539213154,0.021705481249311796,0.00015577971009864133,,,,"{""bulge"": -0.01330026362475336, ""chord_length"": 2.2220533829923537, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021549701539213154, ""fallback_reasons"": []}",-0.01330026362475336,2.2220533829923537,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,11,20,reconstructed,5.889495107641111,5.889495107641111,0.0,0.023179179667310274,0.023222010472374734,4.283080506446019e-05,,,,"{""bulge"": -0.03245785153451791, ""chord_length"": 3.3470010399390238, ""conservative_fallback"": false, ""curvature_midpoint"": 0.023179179667310274, ""fallback_reasons"": []}",-0.03245785153451791,3.3470010399390238,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,11,21,reconstructed,1.7334681421910825,1.7334681421910825,0.0,0.025840358994602602,0.02568423192912836,0.00015612706547424304,,,,"{""bulge"": -0.027996716853543713, ""chord_length"": 2.9440777465000423, ""conservative_fallback"": false, ""curvature_midpoint"": 0.025840358994602602, ""fallback_reasons"": []}",-0.027996716853543713,2.9440777465000423,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,12,7,reconstructed,1.153650817976774,1.153650817976774,0.0,0.0616131082918088,0.06181235860009926,0.00019925030829046064,,,,"{""bulge"": -0.034068947675177055, ""chord_length"": 2.1032349681184366, ""conservative_fallback"": false, ""curvature_midpoint"": 0.0616131082918088, ""fallback_reasons"": []}",-0.034068947675177055,2.1032349681184366,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,12,8,reconstructed,8.11043435936989,8.11043435936989,0.0,0.05143344986392607,0.051398147110848925,3.5302753077143256e-05,,,,"{""bulge"": -0.04626524084070572, ""chord_length"": 2.6825608339403786, ""conservative_fallback"": false, ""curvature_midpoint"": 0.05143344986392607, ""fallback_reasons"": []}",-0.04626524084070572,2.6825608339403786,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,12,21,reconstructed,9.708531149770572,9.708531149770572,0.0,0.025479753471244006,0.027480749468048366,0.0020009959968043597,,,,"{""bulge"": -0.0008832151507829347, ""chord_length"": 0.5265997369786546, ""conservative_fallback"": false, ""curvature_midpoint"": 0.025479753471244006, ""fallback_reasons"": []}",-0.0008832151507829347,0.5265997369786546,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,12,22,reconstructed,6.124575545616947,6.124575545616947,0.0,0.030385171530367523,0.030187486483232686,0.00019768504713483723,,,,"{""bulge"": -0.05104183807779233, ""chord_length"": 3.6658720275364503, ""conservative_fallback"": false, ""curvature_midpoint"": 0.030385171530367523, ""fallback_reasons"": []}",-0.05104183807779233,3.6658720275364503,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,12,23,reconstructed,0.6411329080154997,0.6411329080154997,0.0,0.035082028616468815,0.034684043609184395,0.0003979850072844196,,,,"{""bulge"": -0.011550838319130409, ""chord_length"": 1.6229659064581266, ""conservative_fallback"": false, ""curvature_midpoint"": 0.035082028616468815, ""fallback_reasons"": []}",-0.011550838319130409,1.6229659064581266,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,13,6,reconstructed,0.1578469015415751,0.1578469015415751,0.0,0.08539027442737356,0.08429954779276412,0.0010907266346094346,,,,"{""bulge"": -0.008135357610440666, ""chord_length"": 0.8730298900379516, ""conservative_fallback"": false, ""curvature_midpoint"": 0.08539027442737356, ""fallback_reasons"": []}",-0.008135357610440666,0.8730298900379516,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,13,7,reconstructed,7.986709775538843,7.986709775538843,0.0,0.07500802684609191,0.07462218646934474,0.00038584037674717353,,,,"{""bulge"": -0.07685432357491508, ""chord_length"": 2.8630258892907574, ""conservative_fallback"": false, ""curvature_midpoint"": 0.07500802684609191, ""fallback_reasons"": []}",-0.07685432357491508,2.8630258892907574,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,13,23,reconstructed,8.392021498438003,8.392021498438003,0.0,0.03909899807018178,0.03915736441342605,5.836634324427048e-05,,,,"{""bulge"": -0.028051819469060532, ""chord_length"": 2.395756619956448, ""conservative_fallback"": false, ""curvature_midpoint"": 0.03909899807018178, ""fallback_reasons"": []}",-0.028051819469060532,2.395756619956448,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,13,24,reconstructed,1.2141027827102506,1.2141027827102506,0.0,0.04529423771953109,0.045683983764499315,0.0003897460449682269,,,,"{""bulge"": -0.026644518318715005, ""chord_length"": 2.1693391432635085, ""conservative_fallback"": false, ""curvature_midpoint"": 0.04529423771953109, ""fallback_reasons"": []}",-0.026644518318715005,2.1693391432635085,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,14,6,reconstructed,2.8929357601700314,2.8929357601700314,0.0,0.09321203506356218,0.0924098934170889,0.0008021416464732839,,,,"{""bulge"": -0.12312198238317731, ""chord_length"": 3.2506993040909786, ""conservative_fallback"": false, ""curvature_midpoint"": 0.09321203506356218, ""fallback_reasons"": []}",-0.12312198238317731,3.2506993040909786,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,14,24,reconstructed,8.096405590904299,8.096405590904299,0.0,0.0552436817341382,0.0547599513296421,0.000483730404496098,,,,"{""bulge"": -0.050721261652408235, ""chord_length"": 2.7101835822427702, ""conservative_fallback"": false, ""curvature_midpoint"": 0.0552436817341382, ""fallback_reasons"": []}",-0.050721261652408235,2.7101835822427702,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,14,25,reconstructed,0.27513595134500135,0.27513595134500135,0.0,0.06179063092160514,0.063510150653859,0.0017195197322538575,,,,"{""bulge"": -0.009468287185788902, ""chord_length"": 1.107182951246118, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06179063092160514, ""fallback_reasons"": []}",-0.009468287185788902,1.107182951246118,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,15,6,reconstructed,4.173437003442164,4.173437003442164,0.0,0.09533272031667102,0.09324203435835307,0.0020906859583179477,,,,"{""bulge"": -0.11641611395791754, ""chord_length"": 3.1255794993452275, ""conservative_fallback"": false, ""curvature_midpoint"": 0.09533272031667102, ""fallback_reasons"": []}",-0.11641611395791754,3.1255794993452275,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,15,25,reconstructed,3.9034559635329575,3.9034559635329575,0.0,0.07538732545568848,0.07514287780053953,0.00024444765514894384,,,,"{""bulge"": -0.10609182720673868, ""chord_length"": 3.3553419772321607, ""conservative_fallback"": false, ""curvature_midpoint"": 0.07538732545568848, ""fallback_reasons"": []}",-0.10609182720673868,3.3553419772321607,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,16,6,reconstructed,2.57083367562867,2.57083367562867,0.0,0.08062376993114952,0.0802300828096644,0.0003936871214851173,,,,"{""bulge"": -0.1077148650907452, ""chord_length"": 3.269273570566648, ""conservative_fallback"": false, ""curvature_midpoint"": 0.08062376993114952, ""fallback_reasons"": []}",-0.1077148650907452,3.269273570566648,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,16,25,reconstructed,6.317890813730953,6.317890813730953,0.0,0.09229245087318962,0.09057998015668925,0.0017124707165003666,,,,"{""bulge"": -0.11386331809981491, ""chord_length"": 3.1416212200101996, ""conservative_fallback"": false, ""curvature_midpoint"": 0.09229245087318962, ""fallback_reasons"": []}",-0.11386331809981491,3.1416212200101996,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,3,32,17,6,reconstructed,0.07520592097401044,0.07520592097401044,0.0,0.06914954648578497,0.06991325271027544,0.0007637062244904708,,,,"{""bulge"": -0.0032583040317994056, ""chord_length"": 0.6139685541928377, ""conservative_fallback"": false, ""curvature_midpoint"": 0.06914954648578497, ""fallback_reasons"": []}",-0.0032583040317994056,0.6139685541928377,False,[]
