method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,zalesak,1,128,45,62,reconstructed,0.006415854072099325,0.006415854072096994,2.3314683517128287e-15,0.06673558926429454,0.06666666666666667,6.892259762787678e-05,2.0780983452547743e-12,True,height_function,"{""curvature"": 0.06673558926429454, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.0780983452547743e-12, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,45,63,reconstructed,0.05053074426797278,0.05053074426803478,6.199901703141109e-14,0.0667349258940988,0.06666666666666667,6.825922743212975e-05,2.2560153541434368e-11,True,height_function,"{""curvature"": 0.0667349258940988, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.2560153541434368e-11, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,45,64,reconstructed,0.07445626599397759,0.07445626599397757,1.3877787807814457e-17,0.06673464519041386,0.06666666666666667,6.797852374719471e-05,2.0896893089546304e-17,True,height_function,"{""curvature"": 0.06673464519041386, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.0896893089546304e-17, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,45,65,reconstructed,0.06655200663707372,0.06655200663717399,1.0026701691145945e-13,0.0667347377311042,0.06666666666666667,6.807106443752764e-05,4.086007401937347e-12,True,height_function,"{""curvature"": 0.0667347377311042, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.086007401937347e-12, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,45,66,reconstructed,0.02685684111732023,0.02685684111730885,1.1379786002407855e-14,0.06673520661202659,0.06666666666666667,6.85399453599217e-05,7.744810833449371e-14,True,height_function,"{""curvature"": 0.06673520661202659, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 7.744810833449371e-14, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,46,58,reconstructed,0.05530281570248796,0.05530281570248309,4.871103520542874e-15,0.06674277785100197,0.06666666666666667,7.611118433530073e-05,6.472023900587401e-12,True,height_function,"{""curvature"": 0.06674277785100197, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.472023900587401e-12, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,46,59,reconstructed,0.23877795491735565,0.23877795491734952,6.13398221105399e-15,0.06674018297683107,0.06666666666666667,7.351631016440374e-05,6.870566091786533e-11,True,height_function,"{""curvature"": 0.06674018297683107, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.870566091786533e-11, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,46,60,reconstructed,0.394794942375742,0.394794942375749,7.049916206369744e-15,0.06673817027431952,0.06666666666666667,7.150360765285912e-05,1.127825999008775e-14,True,height_function,"{""curvature"": 0.06673817027431952, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.127825999008775e-14, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,46,61,reconstructed,0.5164864435137,0.5164864435137102,1.021405182655144e-14,0.06673665803313235,0.06666666666666667,6.99913664656826e-05,4.8655235855011394e-11,True,height_function,"{""curvature"": 0.06673665803313235, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.8655235855011394e-11, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,zalesak,1,128,46,62,reconstructed,0.5985146384374889,0.5985146384374702,1.865174681370263e-14,0.06673558926429454,0.06666666666666667,6.892259762787678e-05,2.8749530055395414e-12,True,height_function,"{""curvature"": 0.06673558926429454, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.8749530055395414e-12, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
