method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,circles,3,64,25,31,reconstructed,0.04915417865201199,0.049154178652033365,2.1371793224034263e-14,0.10095393753126822,0.1,0.0009539375312682119,2.9548705414713062e-09,True,height_function,"{""curvature"": 0.10095393753126822, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.9548705414713062e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,25,32,reconstructed,0.15907234130273196,0.15907234130227765,4.5430326167661406e-13,0.10093451184246412,0.1,0.0009345118424641113,2.7533626697085967e-08,True,height_function,"{""curvature"": 0.10093451184246412, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.7533626697085967e-08, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,25,33,reconstructed,0.019664341699669574,0.019664341699676985,7.41073868937292e-15,0.10096588059035995,0.1,0.0009658805903599438,3.136013324523014e-09,True,height_function,"{""curvature"": 0.10096588059035995, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 3.136013324523014e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,26,28,reconstructed,0.020666188066862157,0.02066618806686185,3.0531133177191805e-16,0.10161349929144085,0.1,0.001613499291440848,5.209797587278516e-07,True,height_function,"{""curvature"": 0.10161349929144085, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 5.209797587278516e-07, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,26,29,reconstructed,0.9181554829778396,0.9181554829778369,2.6645352591003757e-15,0.10120426033592077,0.1,0.001204260335920762,2.145744166631513e-08,True,height_function,"{""curvature"": 0.10120426033592077, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.145744166631513e-08, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,26,30,reconstructed,1.9071032603129137,1.9071032603129132,4.440892098500626e-16,0.10103159558617414,0.1,0.0010315955861741333,2.665254878696324e-08,True,height_function,"{""curvature"": 0.10103159558617414, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.665254878696324e-08, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,26,31,reconstructed,2.403044632491462,2.40304463249145,1.199040866595169e-14,0.10095393753126822,0.1,0.0009539375312682119,1.753813044962332e-09,True,height_function,"{""curvature"": 0.10095393753126822, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.753813044962332e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,26,33,reconstructed,2.3438689668034565,2.3438689668034596,3.1086244689504383e-15,0.10096588059035995,0.1,0.0009658805903599438,2.991967368303697e-09,True,height_function,"{""curvature"": 0.10096588059035995, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.991967368303697e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,26,34,reconstructed,1.7226093005609169,1.72260930056092,3.1086244689504383e-15,0.10106037514255047,0.1,0.0010603751425504598,5.497851785301353e-08,True,height_function,"{""curvature"": 0.10106037514255047, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 5.497851785301353e-08, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,26,35,reconstructed,0.6238972605365127,0.6238972605365121,6.661338147750939e-16,0.10126688220386246,0.1,0.0012668822038624517,2.6051824450192808e-08,True,height_function,"{""curvature"": 0.10126688220386246, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.6051824450192808e-08, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,27,27,reconstructed,0.1376743679904826,0.13767436799048283,2.220446049250313e-16,0.10366425709591683,0.1,0.0036642570959168203,6.620930276113035e-06,True,height_function,"{""curvature"": 0.10366425709591683, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.620930276113035e-06, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,27,28,reconstructed,1.798492826456025,1.7984928264560236,1.3322676295501878e-15,0.10161349929144085,0.1,0.001613499291440848,6.492692893901957e-08,True,height_function,"{""curvature"": 0.10161349929144085, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.492692893901957e-08, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,27,35,reconstructed,2.437659046026857,2.437659046026857,0.0,0.10126688220386246,0.1,0.0012668822038624517,1.9830828947698743e-07,True,height_function,"{""curvature"": 0.10126688220386246, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.9830828947698743e-07, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,3,64,27,36,reconstructed,1.3679743352195501,1.367974335219549,1.1102230246251565e-15,0.10179421518398324,0.1,0.0017942151839832332,2.4275203837855544e-07,True,height_function,"{""curvature"": 0.10179421518398324, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.4275203837855544e-07, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
