method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,circles,2,64,26,29,reconstructed,0.5844622377142041,0.5844622377142052,1.1102230246251565e-15,0.10116657748367142,0.1,0.0011665774836714105,1.6301777480814144e-08,True,height_function,"{""curvature"": 0.10116657748367142, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.6301777480814144e-08, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,26,30,reconstructed,1.4959958992446971,1.4959958992447082,1.1102230246251565e-14,0.1010141113059265,0.1,0.0010141113059264906,1.2706921705750858e-09,True,height_function,"{""curvature"": 0.1010141113059265, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.2706921705750858e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,26,31,reconstructed,1.9748111433527855,1.9748111433527955,9.992007221626409e-15,0.1009472842064114,0.1,0.0009472842064113945,7.67643710905887e-12,True,height_function,"{""curvature"": 0.1009472842064114, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 7.67643710905887e-12, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,26,32,reconstructed,2.0607889548524003,2.060788954852536,1.3589129821411916e-13,0.10093607095619012,0.1,0.0009360709561901104,3.036510785930992e-13,True,height_function,"{""curvature"": 0.10093607095619012, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 3.036510785930992e-13, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,26,33,reconstructed,1.7606142431194707,1.760614243119462,8.659739592076221e-15,0.10097622615706789,0.1,0.0009762261570678832,7.988259434663165e-12,True,height_function,"{""curvature"": 0.10097622615706789, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 7.988259434663165e-12, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,26,34,reconstructed,1.0502340705954527,1.05023407059545,2.6645352591003757e-15,0.101083954016028,0.1,0.0010839540160279965,5.2254664087977235e-08,True,height_function,"{""curvature"": 0.101083954016028, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 5.2254664087977235e-08, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,26,35,reconstructed,0.11852347542110041,0.1185234754211077,7.28583859910259e-15,0.10131924889088836,0.1,0.0013192488908883582,1.3373926809707288e-07,True,height_function,"{""curvature"": 0.10131924889088836, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.3373926809707288e-07, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,27,27,reconstructed,0.0935440104506382,0.0935440104506384,1.942890293094024e-16,0.10300565905375239,0.1,0.0030056590537523853,4.503433004972227e-06,True,height_function,"{""curvature"": 0.10300565905375239, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.503433004972227e-06, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,27,28,reconstructed,1.5857210786176152,1.585721078617609,6.217248937900877e-15,0.1015152149357766,0.1,0.001515214935776596,4.8964371421819863e-08,True,height_function,"{""curvature"": 0.1015152149357766, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.8964371421819863e-08, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,27,29,reconstructed,2.4409530115357985,2.4409530115357976,8.881784197001252e-16,0.10116657748367142,0.1,0.0011665774836714105,1.0159509210018925e-07,True,height_function,"{""curvature"": 0.10116657748367142, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.0159509210018925e-07, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,27,35,reconstructed,2.1866261610440914,2.186626161044091,4.440892098500626e-16,0.10131924889088836,0.1,0.0013192488908883582,1.1210362725491848e-07,True,height_function,"{""curvature"": 0.10131924889088836, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.1210362725491848e-07, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,27,36,reconstructed,0.5852570541368536,0.5852570541368615,7.882583474838611e-15,0.10196759615733787,0.1,0.001967596157337867,9.243619182548461e-07,True,height_function,"{""curvature"": 0.10196759615733787, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 9.243619182548461e-07, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,2,64,28,26,reconstructed,0.020086735204785544,0.020086735204785544,0.0,0.10173159344629978,0.1,0.0017315934462997784,6.804249770053375e-07,True,height_function,"{""curvature"": 0.10173159344629978, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.804249770053375e-07, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
