method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,lines,0,32,0,16,unsupported,8.394129875774837,,,,,,,,,"{""boundary_halo_limitation"": true, ""message"": ""PLVIRA requires a complete 3x3 target stencil""}"
PLVIRA,PLVIRA,lines,0,32,1,16,reconstructed,8.394129875774837,8.394129875774851,1.4210854715202004e-14,9.094947017729283e-16,0.0,9.094947017729283e-16,9.096552313329792e-30,True,height_function,"{""curvature"": 9.094947017729283e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 9.096552313329792e-30, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,2,16,reconstructed,8.394129875774809,8.394129875774812,3.552713678800501e-15,-2.8194335754960774e-15,0.0,2.8194335754960774e-15,5.448070626682613e-30,True,height_function,"{""curvature"": -2.8194335754960774e-15, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 5.448070626682613e-30, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,3,16,reconstructed,8.394129875774865,8.394129875774889,2.3092638912203256e-14,1.909938873723149e-15,0.0,1.909938873723149e-15,2.959460989743202e-29,True,height_function,"{""curvature"": 1.909938873723149e-15, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.959460989743202e-29, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,4,16,reconstructed,8.394129875774865,8.394129875774917,5.1514348342607263e-14,3.728928277269006e-15,0.0,3.728928277269006e-15,1.1448343887019934e-28,True,height_function,"{""curvature"": 3.728928277269006e-15, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.1448343887019934e-28, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,5,16,reconstructed,8.394129875774752,8.394129875774766,1.4210854715202004e-14,-1.1186784831807017e-14,0.0,1.1186784831807017e-14,6.727504407337941e-29,True,height_function,"{""curvature"": -1.1186784831807017e-14, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.727504407337941e-29, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,6,16,reconstructed,8.39412987577498,8.39412987577501,3.019806626980426e-14,1.4915713109076024e-14,0.0,1.4915713109076024e-14,2.531750467693685e-29,True,height_function,"{""curvature"": 1.4915713109076024e-14, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.531750467693685e-29, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,7,16,reconstructed,8.394129875774752,8.394129875774816,6.394884621840902e-14,-7.457856554538012e-15,0.0,7.457856554538012e-15,3.4394335467636115e-28,True,height_function,"{""curvature"": -7.457856554538012e-15, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 3.4394335467636115e-28, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,8,16,reconstructed,8.394129875774752,8.394129875774816,6.394884621840902e-14,-7.457856554538012e-15,0.0,7.457856554538012e-15,3.4394335467636115e-28,True,height_function,"{""curvature"": -7.457856554538012e-15, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 3.4394335467636115e-28, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,0,32,9,16,reconstructed,8.39412987577498,8.39412987577501,3.019806626980426e-14,1.4915713109076024e-14,0.0,1.4915713109076024e-14,2.531750467693685e-29,True,height_function,"{""curvature"": 1.4915713109076024e-14, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.531750467693685e-29, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
