method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,squares,0,32,14,14,reconstructed,0.9238567179797884,0.9238567179797881,3.3306690738754696e-16,0.0,0.0,0.0,0.36111150843266704,True,degenerate_zero,"{""curvature"": 0.0, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""fewer than three independent 3x3 PLIC fragment centroids"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 2, ""ghf_independent_points"": 1, ""ghf_method"": ""degenerate_zero"", ""interval_count"": 1, ""objective"": 0.36111150843266704, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,14,15,reconstructed,5.246746861724205,5.246746861724212,7.105427357601002e-15,0.3744702285765324,0.0,0.3744702285765324,0.010379272283180157,True,mixed_height_parabola,"{""curvature"": 0.3744702285765324, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to consistent heights from both directions"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""mixed_height_parabola"", ""interval_count"": 1, ""objective"": 0.010379272283180157, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,14,16,reconstructed,3.0412776443470193,3.041277644347029,9.769962616701378e-15,0.07115918650004935,0.0,0.07115918650004935,0.012083944895624367,True,mixed_height_parabola,"{""curvature"": 0.07115918650004935, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to consistent heights from both directions"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""mixed_height_parabola"", ""interval_count"": 1, ""objective"": 0.012083944895624367, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,14,17,reconstructed,0.8519613584921899,0.851961358492191,1.1102230246251565e-15,0.0,0.0,0.0,0.2342838144583878,True,degenerate_zero,"{""curvature"": 0.0, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""fewer than three independent 3x3 PLIC fragment centroids"", ""ghf_direction"": null, ""ghf_fit_points"": 4, ""ghf_height_points"": 2, ""ghf_independent_points"": 1, ""ghf_method"": ""degenerate_zero"", ""interval_count"": 1, ""objective"": 0.2342838144583878, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,15,14,reconstructed,3.2324370503433784,3.2324370503433775,8.881784197001252e-16,0.12875854563718123,0.0,0.12875854563718123,0.008570278008252401,True,mixed_height_parabola,"{""curvature"": 0.12875854563718123, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to consistent heights from both directions"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""mixed_height_parabola"", ""interval_count"": 1, ""objective"": 0.008570278008252401, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,15,17,reconstructed,9.17270109913943,9.17270109913943,0.0,0.4434402946510564,0.0,0.4434402946510564,0.0009719062356913782,True,mixed_height_parabola,"{""curvature"": 0.4434402946510564, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to consistent heights from both directions"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""mixed_height_parabola"", ""interval_count"": 2, ""objective"": 0.0009719062356913782, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,15,18,reconstructed,0.06529005413085542,0.0652900541308572,1.7763568394002505e-15,0.0,0.0,0.0,0.9132193592005673,True,degenerate_zero,"{""curvature"": 0.0, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""fewer than three independent 3x3 PLIC fragment centroids"", ""ghf_direction"": null, ""ghf_fit_points"": 4, ""ghf_height_points"": 2, ""ghf_independent_points"": 2, ""ghf_method"": ""degenerate_zero"", ""interval_count"": 1, ""objective"": 0.9132193592005673, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,16,14,reconstructed,5.437906267720564,5.437906267720543,2.042810365310288e-14,0.2795239940054281,0.0,0.2795239940054281,0.0880492141285399,True,mixed_height_parabola,"{""curvature"": 0.2795239940054281, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to consistent heights from both directions"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""mixed_height_parabola"", ""interval_count"": 1, ""objective"": 0.0880492141285399, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,16,17,reconstructed,7.067866492837311,7.067866492837313,1.7763568394002505e-15,0.11404868527225791,0.0,0.11404868527225791,0.07055248193044486,True,mixed_height_parabola,"{""curvature"": 0.11404868527225791, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to consistent heights from both directions"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""mixed_height_parabola"", ""interval_count"": 1, ""objective"": 0.07055248193044486, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,squares,0,32,17,14,reconstructed,3.8694624630923045,3.8694624630923036,8.881784197001252e-16,0.0,0.0,0.0,0.5678613987182666,True,degenerate_zero,"{""curvature"": 0.0, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""fewer than three independent 3x3 PLIC fragment centroids"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 2, ""ghf_independent_points"": 1, ""ghf_method"": ""degenerate_zero"", ""interval_count"": 1, ""objective"": 0.5678613987182666, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
