method,variant,benchmark,cells_per_side,cases,native_symmetric_hausdorff_median,native_reconstruction_to_truth_median,native_truth_to_reconstruction_median,geometric_curvature_mean_absolute_error_median,geometric_curvature_rms_error_median,geometric_curvature_relative_l1_error_median,native_symmetric_hausdorff_order,geometric_curvature_mean_absolute_error_order
PLVIRA,PLVIRA,lines,64,5,1.7830515680930425,1.5287753956139453e-07,1.7830515680930425,nan,nan,nan,1.0000000016002935,nan
PLVIRA,PLVIRA,lines,128,5,0.891525784187717,6.737581518884357e-08,0.891525784187717,nan,nan,nan,0.9999999997715128,nan
PLVIRA,PLVIRA,squares,32,5,1.214180999902171,1.214180999902171,0.888285034380827,nan,nan,nan,nan,nan
PLVIRA,PLVIRA,squares,64,5,0.636379498047588,0.636379498047588,0.3966523819021209,nan,nan,nan,0.93202423960846,nan
PLVIRA,PLVIRA,squares,128,5,0.27869115639650777,0.27869115639650777,0.2216241597599851,nan,nan,nan,1.1912201351001916,nan
PLVIRA,PLVIRA,zalesak,32,5,1.8280058954054554,1.8280058954054554,1.058619997712493,nan,nan,nan,nan,nan
PLVIRA,PLVIRA,zalesak,64,5,0.726801106113371,0.726801106113371,0.5314792079970356,nan,nan,nan,1.3306382028496806,nan
PLVIRA,PLVIRA,zalesak,128,5,0.2794418641592904,0.2771171167980225,0.2496443259435938,nan,nan,nan,1.3790124430912627,nan
QUASI,QUASI (frozen Cartesian port),circles,32,5,0.2798702286482647,0.2798702286482647,0.07983384584171757,0.05220378858004804,0.159662017700925,0.52203788580048,nan,nan
QUASI,QUASI (frozen Cartesian port),circles,64,5,0.734988277730507,0.734988277730507,0.25285283861035857,0.05729664714715666,0.2556549124570186,0.5729664714715661,-1.3929632131213348,-0.13429620748870497
QUASI,QUASI (frozen Cartesian port),circles,128,5,0.4682205073298746,0.4682205073298746,0.14701861841651281,0.1483923175598932,0.6061681256904913,1.4839231755989328,0.6505331170718868,-1.3728937801676049
QUASI,QUASI (frozen Cartesian port),ellipses,32,5,1.722061657076816,1.722061657076816,0.5554633786953646,0.041254362032559964,0.15496713956280467,1.00460914906773,nan,nan
QUASI,QUASI (frozen Cartesian port),ellipses,64,5,0.8982253814577202,0.8982253814577202,0.2833330590167367,0.1059441306121169,0.34347360469019506,2.567334993544767,0.9389874037054079,-1.3606850875008398
QUASI,QUASI (frozen Cartesian port),ellipses,128,5,0.45856759955137744,0.45856759955137744,0.14171551940482136,0.17927182124052574,1.143045615012122,4.543692585504077,0.9699430656290116,-0.758845073176769
QUASI,QUASI (frozen Cartesian port),lines,32,5,1.798028123105174,1.798028123105174,1.21668181765385,nan,nan,nan,nan,nan
QUASI,QUASI (frozen Cartesian port),lines,64,5,0.8976335726925677,0.8976335726925677,0.5470629105027748,nan,nan,nan,1.0022170455534374,nan
QUASI,QUASI (frozen Cartesian port),lines,128,5,0.44861760574215387,0.44861760574215387,0.3663277517725718,nan,nan,nan,1.0006403963945916,nan
QUASI,QUASI (frozen Cartesian port),squares,32,5,1.189345181934294,0.7562913306909906,0.8064247487112627,nan,nan,nan,nan,nan
QUASI,QUASI (frozen Cartesian port),squares,64,5,0.7302710937681548,0.7302710937681548,0.3558908140424365,nan,nan,nan,0.7036634563610682,nan
QUASI,QUASI (frozen Cartesian port),squares,128,5,0.35116013350887776,0.35116013350887776,0.14858068451721912,nan,nan,nan,1.056303057725565,nan
QUASI,QUASI (frozen Cartesian port),zalesak,32,5,1.8856429830138675,1.8856429830138675,0.9186181942230165,nan,nan,nan,nan,nan
QUASI,QUASI (frozen Cartesian port),zalesak,64,5,0.8596090621012996,0.8596090621012996,0.3708794255224717,nan,nan,nan,1.1333039531204974,nan
QUASI,QUASI (frozen Cartesian port),zalesak,128,5,0.48019586733965636,0.48019586733965636,0.21030245890916147,nan,nan,nan,0.8400577044054341,nan
