resolution,radius_over_h,samples,relative_l1,relative_l1_order,relative_l2,relative_l2_order,relative_linf,relative_linf_order,height_function,mixed_height_parabola,plic_centroid_parabola,degenerate_zero
32,6.4,204,0.0179836962378593,,0.07139450324018308,,1.0,,203,0,0,1
64,12.8,410,0.003021781323331542,2.573218406195225,0.0031037320922846206,4.523737065909523,0.005040293073099456,7.632276661489584,410,0,0,0
128,25.6,820,0.0007446994439751185,2.020669075560782,0.0007626398896476363,2.024930134580526,0.001194636499705659,2.0769359169734876,820,0,0,0
256,51.2,1638,0.00018555062165226665,2.004845445851534,0.00018988415589504983,2.005882462027042,0.0002939408127684118,2.0229741144662223,1638,0,0,0
