method,variant,display_label,benchmark,cells_per_side,cell_size,case_count,mixed_cell_count,arc_count,line_count,concave_arc_count,merged_cell_count,c0_adjustment_events,c0_rejection_events,c0_bad_joins_before_joint,c0_bad_joins_after_joint,c0_joint_components,c0_joint_components_solved,c0_joint_components_failed,c0_exact_c1_components,c0_conservative_fallback_components,max_c0_relative_area_residual,max_c0_tangent_angle_radians,native_symmetric_hausdorff_median,native_symmetric_hausdorff_q25,native_symmetric_hausdorff_q75,geometric_curvature_mean_absolute_error_median,geometric_curvature_mean_absolute_error_q25,geometric_curvature_mean_absolute_error_q75,geometric_curvature_rms_error_median,geometric_curvature_rms_error_q25,geometric_curvature_rms_error_q75,geometric_curvature_relative_l1_error_median,geometric_curvature_relative_l1_error_q25,geometric_curvature_relative_l1_error_q75,production_facet_gap_median,production_facet_gap_q25,production_facet_gap_q75,concave_arc_fraction_median,concave_arc_fraction_q25,concave_arc_fraction_q75,concave_arc_length_fraction_median,concave_arc_length_fraction_q25,concave_arc_length_fraction_q75,signed_curvature_arc_length_mean_median,signed_curvature_arc_length_mean_q25,signed_curvature_arc_length_mean_q75,native_symmetric_hausdorff_fit_order,geometric_curvature_mean_absolute_error_fit_order,production_facet_gap_fit_order
Ours,per-cell circular,Ours (per-cell circular),ellipses,32,3.125,5,310,310,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0.01038495670679101,0.007686243759298198,0.011902332187096581,0.0013827770800821741,0.0012365569394624748,0.001555995063145504,0.002128722160577644,0.001900730904020902,0.002509282437814757,0.033982039502856005,0.030788313901340264,0.03778367945651811,0.004464033981152754,0.003554018492216181,0.004783226729420834,0.0,0.0,0.0,0.0,0.0,0.0,0.040725018394696,0.04022304898101017,0.04125784800844661,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,per-cell circular,Ours (per-cell circular),ellipses,64,1.5625,5,624,624,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0.001233733941624186,0.0010094452500104723,0.0017199439204679894,0.0006869149408435222,0.0005895532836297536,0.0008219358854716257,0.001096962858065403,0.000928312387969442,0.0013380471459155472,0.016881171892000574,0.014678163147891781,0.019957838328829636,0.000562200084586468,0.0004906319866675869,0.0005647738689812709,0.0,0.0,0.0,0.0,0.0,0.0,0.04069979240553641,0.04016882262741259,0.0412037621217829,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,per-cell circular,Ours (per-cell circular),ellipses,128,0.78125,5,1250,1250,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.00035256043095532375,0.0003086802002540704,0.00041030981550010427,0.0005663902595193414,0.00048317164117595593,0.0006745096807087231,0.008664343644429641,0.00768529441885141,0.009962911593031623,6.945110757804856e-05,5.705915414194652e-05,7.078389664987233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04069423294304324,0.04016740169011776,0.041188657997575345,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,32,3.125,5,310,310,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0.01038495670679101,0.007686243759298198,0.011902332187096581,0.0013827770800821741,0.0012365569394624748,0.001555995063145504,0.002128722160577644,0.001900730904020902,0.002509282437814757,0.033982039502856005,0.030788313901340264,0.03778367945651811,0.004464033981152754,0.003554018492216181,0.004783226729420834,0.0,0.0,0.0,0.0,0.0,0.0,0.040725018394696,0.04022304898101017,0.04125784800844661,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,64,1.5625,5,624,624,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0.001233733941624186,0.0010094452500104723,0.0017199439204679894,0.0006869149408435222,0.0005895532836297536,0.0008219358854716257,0.001096962858065403,0.000928312387969442,0.0013380471459155472,0.016881171892000574,0.014678163147891781,0.019957838328829636,0.000562200084586468,0.0004906319866675869,0.0005647738689812709,0.0,0.0,0.0,0.0,0.0,0.0,0.04069979240553641,0.04016882262741259,0.0412037621217829,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,128,0.78125,5,1250,1250,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.00035256043095532375,0.0003086802002540704,0.00041030981550010427,0.0005663902595193414,0.00048317164117595593,0.0006745096807087231,0.008664343644429641,0.00768529441885141,0.009962911593031623,6.945110757804856e-05,5.705915414194652e-05,7.078389664987233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04069423294304324,0.04016740169011776,0.041188657997575345,2.9124191901988357,0.9858130627518551,3.0031032485865223
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,32,3.125,5,310,310,0,0,0,336,13,26,0,13,13,0,13,0,9.508530638413503e-11,5.617728504603292e-14,0.003569650996053655,0.003066853908660894,0.005024425483758663,0.0015177072757873206,0.0013184484849510258,0.0016782316035528363,0.0023112762249505293,0.0019269454165700944,0.0026398708461767635,0.0372983252822664,0.03282577177618528,0.040749808415092445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040735350182303474,0.040152272697605344,0.04114294256134655,3.2489354529877335,1.0593574114409918,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,64,1.5625,5,624,623,1,0,0,686,33,66,0,29,29,0,29,0,9.946998602572422e-11,9.43689570931383e-14,0.00028509717670104664,0.000263197789650191,0.0004138391184613332,0.0006999663911152268,0.0006124726142047803,0.0008671552975165111,0.0010575094322569044,0.0009234264755352537,0.0013884396532256725,0.01720196255406208,0.015248881590548593,0.021055697300845434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040691391136556926,0.0401670783626977,0.041192673908766714,3.2489354529877335,1.0593574114409918,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,128,0.78125,5,1250,1247,3,0,0,1423,95,190,0,78,78,0,78,0,9.951045285561121e-11,2.266520304772257e-13,3.949769088798941e-05,3.582892137418839e-05,5.411768714314201e-05,0.00034945503494554486,0.0003053700477963346,0.0004132542936855413,0.0005386270340687841,0.00047979289283317685,0.0006780888725294745,0.00858800087547886,0.007602872892343233,0.010034368571258941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04069140777668394,0.040166373890231775,0.04118444239449606,3.2489354529877335,1.0593574114409918,nan
