benchmark,sweep,cases,max_update_displacement_median,max_update_displacement_q25,max_update_displacement_q75,max_net_endpoint_displacement_median,max_net_endpoint_displacement_q25,max_net_endpoint_displacement_q75,max_two_sweep_endpoint_displacement_median,max_two_sweep_endpoint_displacement_q25,max_two_sweep_endpoint_displacement_q75,max_c1_mismatch_after_median,max_c1_mismatch_after_q25,max_c1_mismatch_after_q75,max_area_residual_median,max_area_residual_q25,max_area_residual_q75,misses_median,misses_total,root_branch_switches_median,root_branch_switches_total,multiple_root_updates_median,multiple_root_updates_total
circles,1,5,0.08396382889276355,0.05739627069335227,0.5474881237938432,0.0839638288927631,0.05739627069335285,0.5474881237938405,0.0,0.0,0.0,0.4171125528222192,0.37359328516716905,0.5485599512093247,0.0,0.0,6.938893903907228e-18,2.0,8,0.0,0,17.0,82
circles,2,5,0.13402910250593872,0.02173376797991438,0.2588159813370441,0.13402910250594147,0.021733767979917218,0.25881598133704387,0.5663192401003627,0.055221392721250595,0.725210513906255,0.5190717439163944,0.18759891941900766,0.6297823362579638,0.0,0.0,3.469446951953614e-18,1.0,7,1.0,3,17.0,89
circles,3,5,0.027238132142399715,0.004020593616138428,0.07303228311760432,0.027238132142400673,0.004020593616139934,0.07303228311760535,0.13402910250594147,0.022636380940113554,0.2529336657406063,0.18692670737111097,0.15868354077523605,0.2523906211419315,0.0,0.0,3.469446951953614e-18,3.0,10,0.0,1,17.0,91
circles,4,5,0.02263697782901187,0.0026153308079026813,0.027176374676769234,0.022636977829009197,0.002615330807905991,0.027176374676770365,0.029853462950306664,0.022636977829009197,0.07353100279603808,0.18683251474836265,0.15905431593134556,0.2522279087794138,0.0,0.0,3.469446951953614e-18,1.0,8,0.0,0,17.0,91
circles,5,5,0.005255340543282869,0.0003118837976876128,0.015237473542141977,0.0052553405432860245,0.00031188379768565255,0.01523747354214322,0.027973746375224096,0.0028126648858659564,0.03144215743071754,0.113170407200002,0.07019643991227413,0.15999013256144495,0.0,0.0,3.469446951953614e-18,1.0,6,0.0,0,17.0,91
circles,6,5,0.0026053704760458166,0.0009490096580999294,0.0029083018696603245,0.002605370476047142,0.0009490096581004082,0.002908301869659624,0.0046583429393294296,0.003136807041130396,0.018145775411802845,0.11319040558724357,0.016218387568299804,0.16001671448362867,0.0,0.0,0.0,1.0,6,0.0,0,17.0,91
circles,7,5,0.0009107652433948399,0.00032775719077947655,0.004063398502878075,0.0009107652433968383,0.0003277571907815968,0.0040633985028790676,0.0035663032816870555,0.003136807041130396,0.0040633985028790676,0.05661649702183298,0.00810126076777718,0.08465453009252036,0.0,0.0,0.0,2.0,9,0.0,0,18.0,92
circles,8,5,0.0007508214373877845,0.0003240890080546434,0.0014227414728980282,0.0007508214373856958,0.00032408900805336316,0.0014227414729006682,0.0012348542514502014,0.0007508214373856958,0.0040633985028790676,0.026263689407265,0.008166624823098895,0.04226464075611567,0.0,0.0,3.469446951953614e-18,2.0,10,0.0,0,18.0,92
circles,9,5,0.0004813837351031608,0.00016741810123024892,0.9612197275122166,0.0004813837351065331,0.00016741810122766765,0.9612197275122156,0.003184459398177353,0.0009182395386133635,0.9612191273873236,0.16002583609511556,0.02651644696427821,0.29052885464806166,1.734723475976807e-18,0.0,2.7755575615628914e-17,1.0,7,0.0,2,18.0,91
circles,10,5,0.0009606052506343568,0.0003110341090625107,0.14108119508717681,0.0009606052506327956,0.0003110341090604152,0.14108119508717465,0.0009606052506327956,0.0003110341090604152,0.8956084253331937,0.04756244309773592,0.01251252622978625,0.152352423326662,1.734723475976807e-18,0.0,3.469446951953614e-18,1.0,7,0.0,1,18.0,94
circles,11,5,0.0001514957034816941,0.00010141054280089074,0.01670375982380009,0.00015149570348427233,0.00010141054280410344,0.016703759823798237,0.0009606052506327956,0.0003814834065636319,0.15283396444750252,0.01654060442572478,0.012515647658480702,0.03996504977278903,0.0,0.0,1.734723475976807e-18,2.0,9,0.0,0,18.0,94
circles,12,5,3.477263857782839e-05,2.336807420769485e-05,0.0032084055385036767,3.477263857831758e-05,2.336807420988407e-05,0.0032084055385013244,0.0001862683420625899,0.00012477861701398751,0.01612633698267274,0.009906408653446514,0.0032568885160960933,0.012538587092634996,1.734723475976807e-18,0.0,3.469446951953614e-18,1.0,6,0.0,0,18.0,94
circles,13,5,0.0007062992740560284,0.0006758209281018668,0.0020502177205374006,0.0007062992740571872,0.0006758209281017002,0.002050217720537262,0.0020677218898796923,0.0006758209281017002,0.0037329682681530585,0.0024276451600979024,0.0009776430070987036,0.006033773508609096,0.0,0.0,2.7755575615628914e-17,1.0,7,0.0,0,18.0,94
