benchmark,case_index,cells_per_side,sweep,updates,misses,multiple_root_updates,root_branch_switches,max_update_displacement,mean_update_displacement,max_net_endpoint_displacement,max_two_sweep_endpoint_displacement,mean_c1_mismatch_before,max_c1_mismatch_before,mean_c1_mismatch_after,max_c1_mismatch_after,max_area_residual
circles,0,64,12,47,1,18,0,3.477263857782839e-05,1.6695672886892222e-06,3.477263857831758e-05,0.0001862683420625899,2.894727610786528e-05,0.0008721981828898677,1.3413785134535325e-05,0.00036504113856685675,0.0
circles,0,64,13,45,3,18,0,9.024017012804197e-06,5.499851230522344e-07,9.02401701097233e-06,4.288703271271288e-05,1.3413785134535325e-05,0.00036504113856685675,1.0341662689815229e-05,0.00036506421454920865,0.0
circles,0,64,14,46,2,18,0,3.5648833401728808e-06,1.659310708398771e-07,3.56488334318783e-06,1.258890035416016e-05,1.0341662689815229e-05,0.00036506421454920865,9.898318717451598e-06,0.00036507038399455057,0.0
circles,0,64,15,46,2,18,0,1.1046627945709986e-06,5.048710161617546e-08,1.104662793238731e-06,4.669546136426561e-06,9.898318717451598e-06,0.00036507038399455057,9.769189825494576e-06,0.0003650720984875434,0.0
circles,0,64,16,45,3,18,0,2.1241416715833683e-07,1.2607640434155681e-08,2.1241416447992378e-07,1.3081280272331242e-06,9.769189825494576e-06,0.0003650720984875434,9.738008693541989e-06,0.0003650719491206761,0.0
circles,0,64,17,45,3,18,0,4.508258271904153e-08,2.6973567075071857e-09,4.5082579447353055e-08,2.5749674392727684e-07,9.738008693541989e-06,0.0003650719491206761,9.731295277780204e-06,0.0003650719677614667,0.0
circles,0,64,18,45,3,18,0,9.434250602957661e-09,5.715218871318333e-10,9.434252490336803e-09,5.451683193768986e-08,9.731295277780204e-06,0.0003650719677614667,9.729852274245967e-06,0.0003650719598577142,0.0
circles,0,64,19,45,3,18,0,1.9873481332810528e-09,1.2630878090168063e-10,1.9873453993568546e-09,1.1421597889693658e-08,9.729852274245967e-06,0.0003650719598577142,9.729602913135019e-06,0.0003650719691262367,0.0
circles,0,64,20,45,3,18,0,4.148755991528752e-10,2.8042203614163836e-11,4.148787979829649e-10,2.4022241973398195e-09,9.729602913135019e-06,0.0003650719691262367,9.72952473021786e-06,0.0003650719599146091,0.0
circles,0,64,21,45,3,18,0,9.501956513280341e-11,6.7527832525187004e-12,9.50208800531982e-11,5.098996780361631e-10,9.72952473021786e-06,0.0003650719599146091,9.72952582455563e-06,0.0003650719691262367,0.0
circles,0,64,22,45,3,18,0,5.915979511827985e-11,2.547703921864591e-12,5.915978817938594e-11,1.1677059319481486e-10,9.72952582455563e-06,0.0003650719691262367,9.729509455521172e-06,0.0003650719599146091,0.0
circles,0,64,23,45,3,18,0,5.91630910928842e-11,2.5291038312610617e-12,5.915978817938594e-11,3.037570195374428e-11,9.729509455521172e-06,0.0003650719599146091,9.729523367213526e-06,0.0003650719691262367,0.0
circles,0,64,24,45,3,18,0,5.915979511827985e-11,1.9799997627193175e-12,5.915978817938594e-11,2.0818902157770935e-11,9.729523367213526e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,25,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,8.476774837617995e-12,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,26,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,27,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,28,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,29,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,30,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,31,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,32,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,33,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,34,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,35,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,36,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
