method,variant,benchmark,case_index,random_seed,cells_per_side,cell_size,runtime_seconds,mixed_cells,reconstructed_cells,paper_fallback_cells,unsupported_cells,unresolved_cells,optimizer_failures,sampled_hausdorff,sampled_reconstruction_to_truth,shared_edge_gap_mean,shared_edge_gap_max,unmatched_crossings,conservation_mean_absolute_residual,conservation_max_absolute_residual,curvature_estimator_mean_absolute_error,curvature_estimator_median_absolute_error,curvature_estimator_max_absolute_error,curvature_estimator_samples,parameters_json,status_message
PLVIRA,PLVIRA,lines,0,42,32,3.125,0.04003612500000009,32,30,0,2,0,0,3.125,0.0012490007993619656,3.1606901004501007e-14,1.1368683772161603e-13,0,2.1197858283509656e-14,6.394884621840902e-14,1.8832603624711436e-14,1.4915713109076024e-14,5.96628524363041e-14,30,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,0,42,64,1.5625,0.08959583299999974,64,62,0,2,0,0,1.5625,0.0012500000000059686,5.766012974751431e-14,2.4158453015843406e-13,0,1.1292042569816511e-14,3.4638958368304884e-14,1.1484864385678403e-13,1.193257048726082e-13,4.769390216097235e-13,62,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,0,42,128,0.78125,0.2641439590000001,128,126,0,2,0,0,0.78125,0.0012500000000059686,8.157394203042538e-14,2.4158453015843406e-13,0,5.522478418125531e-15,1.765254609153999e-14,4.669028197577785e-13,4.769390216097235e-13,1.907756086438894e-12,126,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,1,42,32,3.125,0.16537933300000018,40,38,0,2,0,0,3.2263620981796817,0.0012499828934679823,1.9507242668075537e-08,1.3608068627490884e-07,0,2.145213831134266e-15,2.6645352591003757e-14,7.421641644172168e-15,5.909040394788582e-15,2.718985020818761e-14,38,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,1,42,64,1.5625,0.35356416700000004,80,78,0,2,0,0,1.6131810490865452,0.0012499828924359335,1.2455455499230182e-08,1.6019268400668807e-07,0,7.610988050625422e-16,1.3322676295501878e-14,6.81780567121137e-14,5.404912472995349e-14,3.248732558309479e-13,78,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,1,42,128,0.78125,0.7645927090000004,161,158,0,3,0,0,0.806590524544574,0.0012499828943531804,6.816823808380005e-09,5.233427913253763e-08,0,3.601033413090209e-16,9.520162436160717e-15,5.444131721362201e-13,4.330541492124276e-13,2.5996471980199022e-12,158,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,2,42,32,3.125,0.25823099999999943,50,46,0,4,0,0,3.566103140141746,0.00124997584449074,6.854637450321023e-08,9.238790337207092e-07,0,2.8292585665583474e-15,2.842170943040401e-14,9.140447230963077e-15,4.957395397753839e-15,5.0247180513035106e-14,46,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,2,42,64,1.5625,0.47420066599999977,100,96,0,4,0,0,1.7830515680930428,0.0012499759056895435,1.7716622878902838e-08,3.1531902422443636e-07,0,1.5094714396248394e-15,2.65898414397725e-14,4.565954968970225e-14,2.998918203579395e-14,2.407702900588135e-13,96,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,2,42,128,0.78125,1.0058054169999995,199,195,0,4,0,0,0.8915257841877169,0.0012499759044388853,6.5871983247744606e-09,1.388387715905992e-07,0,8.86017660370473e-16,1.8859913630819847e-14,4.458824854085565e-13,3.207006405460178e-13,2.5675636015635277e-12,195,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,3,42,32,3.125,0.22869404200000076,63,55,0,8,0,0,8.573757175558342,0.0012499782526012415,2.373957277683456e-08,1.7534016194531432e-07,0,4.367702538027823e-15,5.1514348342607263e-14,3.995851762040557e-15,2.8184911434720423e-15,1.729848939305937e-14,55,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""angle"": 0.7539822368615504, ""p_left"": [50.76113970199035, 50.78606430527695], ""p_right"": [50.961139701990355, 50.97387680644045]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,3,42,64,1.5625,0.5135328749999992,125,121,0,4,0,0,2.1434392938705304,0.0012499782626055418,3.712461319987924e-08,1.4267146681845588e-06,0,2.6848716661307318e-15,5.1736392947532295e-14,3.207897140918363e-14,1.7263258253765674e-14,1.8482255673319533e-13,121,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""angle"": 0.7539822368615504, ""p_left"": [50.76113970199035, 50.78606430527695], ""p_right"": [50.961139701990355, 50.97387680644045]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,3,42,128,0.78125,1.086211166,249,245,0,4,0,0,1.0717196469557189,0.0012499782027063338,8.08748136512068e-08,6.047305008749504e-06,0,1.0132502121920571e-15,1.504352198367087e-14,2.484131813514402e-13,9.244650950587823e-14,2.216743284338484e-12,245,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""angle"": 0.7539822368615504, ""p_left"": [50.76113970199035, 50.78606430527695], ""p_right"": [50.961139701990355, 50.97387680644045]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,4,42,32,3.125,0.23778841699999909,53,49,0,4,0,0,3.7011685967344654,0.0012499988244580843,8.124940812744354e-08,1.49326423581897e-06,0,1.937225889907161e-15,3.042011087472929e-14,7.463009875344383e-15,4.434234460365554e-15,3.142284666975096e-14,49,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""angle"": 1.0053096491487339, ""p_left"": [50.12811363267554, 50.45038593789557], ""p_right"": [50.328113632675546, 50.7655355098893]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,4,42,64,1.5625,0.5032425000000007,105,101,0,4,0,0,1.8505842987660952,0.0012499988649164124,3.380371862954413e-08,5.195379841893555e-07,0,1.7521737636163361e-15,3.4638958368304884e-14,5.58829533470973e-14,3.591182476542797e-14,2.1558043586319415e-13,101,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""angle"": 1.0053096491487339, ""p_left"": [50.12811363267554, 50.45038593789557], ""p_right"": [50.328113632675546, 50.7655355098893]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,4,42,128,0.78125,1.0938485829999998,209,206,0,3,0,0,0.9252921482365831,0.0012499988206704194,2.0943806432559682e-08,3.4710464547061097e-07,0,6.222962578087528e-16,1.2545520178264269e-14,3.779160427392927e-13,2.8685664904091845e-13,1.7226727160340612e-12,206,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""angle"": 1.0053096491487339, ""p_left"": [50.12811363267554, 50.45038593789557], ""p_right"": [50.328113632675546, 50.7655355098893]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,squares,0,42,32,3.125,0.07613920800000074,15,15,0,0,0,0,1.9032904780030464,1.9032904780030464,0.6791052267755295,1.4694465172363635,5,3.560115165631336e-15,2.042810365310288e-14,0.12619624356383155,0.07115918650004935,0.4434402946510564,15,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.773956048555966, 50.43887843975205], ""side_length"": 10.0, ""theta"": 1.3486824587905384, ""vertices"": [[54.54966559017056, 44.46024837448121], [56.75258611382681, 54.21458798136665], [46.99824650694137, 56.417508505022894], [44.795325983285124, 46.66316889813746]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,0,42,64,1.5625,0.16648737500000266,31,31,0,0,0,0,0.45620614203193444,0.45620614203193444,0.10864019145198597,0.517082504058493,8,1.0790203855862963e-14,2.1538326677728037e-13,0.1553581312675928,1.6611883750026575e-13,0.8766781180182989,31,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.773956048555966, 50.43887843975205], ""side_length"": 10.0, ""theta"": 1.3486824587905384, ""vertices"": [[54.54966559017056, 44.46024837448121], [56.75258611382681, 54.21458798136665], [46.99824650694137, 56.417508505022894], [44.795325983285124, 46.66316889813746]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,0,42,128,0.78125,0.3502756249999983,61,61,0,0,0,0,0.24046280830169375,0.24046280830169375,0.05343323318179654,0.40428616073376844,1,1.0306568042096056e-15,1.4349632593280148e-14,0.11335750630274427,1.3274313203907237e-12,1.2765941605356756,61,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.773956048555966, 50.43887843975205], ""side_length"": 10.0, ""theta"": 1.3486824587905384, ""vertices"": [[54.54966559017056, 44.46024837448121], [56.75258611382681, 54.21458798136665], [46.99824650694137, 56.417508505022894], [44.795325983285124, 46.66316889813746]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,1,42,32,3.125,0.06864258400000267,13,13,0,0,0,0,1.2141811295194331,1.2141811295194331,0.7760467546746561,1.6646431965722357,3,2.0589171393444652e-11,2.674864774121488e-10,0.16813964839978676,0.1995960844043493,0.4734878015617793,13,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.69736802905936, 50.09417734788765], ""side_length"": 10.833333333333334, ""theta"": 1.532504006290015, ""vertices"": [[55.90269789635846, 44.47411537953183], [56.317429997415175, 55.29950721518676], [45.49203816176026, 55.71423931624347], [45.07730606070355, 44.888847480588545]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,1,42,64,1.5625,0.1457911249999988,30,30,0,0,0,0,0.7336907111568595,0.7336907111568595,0.19613695091299455,1.4260733769947862,4,8.473545938988043e-16,9.992007221626409e-15,0.14465220104389878,1.1906347801729059e-13,0.7690468698395955,30,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.69736802905936, 50.09417734788765], ""side_length"": 10.833333333333334, ""theta"": 1.532504006290015, ""vertices"": [[55.90269789635846, 44.47411537953183], [56.317429997415175, 55.29950721518676], [45.49203816176026, 55.71423931624347], [45.07730606070355, 44.888847480588545]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,1,42,128,0.78125,0.3130264579999995,60,60,0,0,0,0,0.2911047743253772,0.2911047743253772,0.035601241222328155,0.4005759227997103,3,1.1775339095002983e-15,1.8207657603852567e-14,0.19436954803978332,4.75890913660568e-13,2.662998617087734,60,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.69736802905936, 50.09417734788765], ""side_length"": 10.833333333333334, ""theta"": 1.532504006290015, ""vertices"": [[55.90269789635846, 44.47411537953183], [56.317429997415175, 55.29950721518676], [45.49203816176026, 55.71423931624347], [45.07730606070355, 44.888847480588545]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,2,42,32,3.125,0.08330033400000048,16,16,0,0,0,0,1.3101105534413475,1.3101105534413475,0.6524489086388705,1.4910888826762587,2,7.188694084447889e-15,4.218847493575595e-14,0.13303733877338272,0.07096979154605215,0.4251018458241151,16,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.76113970199035, 50.78606430527695], ""side_length"": 11.666666666666666, ""theta"": 0.2012404236190981, ""vertices"": [[46.21152170126112, 43.90445609185793], [57.64274791540937, 46.23644630454772], [55.310757702719584, 57.66767251869597], [43.87953148857133, 55.335682306006184]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,2,42,64,1.5625,0.16392029100000016,32,32,0,0,0,0,0.5247297241876826,0.5247297241876826,0.16387826156796836,0.7531500232631032,0,6.312292810846387e-16,4.884981308350689e-15,0.16506325393064541,1.121179858586697e-13,0.9054193689870214,32,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.76113970199035, 50.78606430527695], ""side_length"": 11.666666666666666, ""theta"": 0.2012404236190981, ""vertices"": [[46.21152170126112, 43.90445609185793], [57.64274791540937, 46.23644630454772], [55.310757702719584, 57.66767251869597], [43.87953148857133, 55.335682306006184]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,2,42,128,0.78125,0.38797604199999824,68,68,0,0,0,0,0.2786911763568899,0.2786911763568899,0.023736560819358373,0.30658685715978606,6,5.569698029479193e-16,6.6058269965196814e-15,0.07931189285306907,6.727934687466664e-13,0.7434153968633394,68,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.76113970199035, 50.78606430527695], ""side_length"": 11.666666666666666, ""theta"": 0.2012404236190981, ""vertices"": [[46.21152170126112, 43.90445609185793], [57.64274791540937, 46.23644630454772], [55.310757702719584, 57.66767251869597], [43.87953148857133, 55.335682306006184]]}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,squares,3,42,32,3.125,0.08692016699999883,18,18,0,0,0,0,1.1043381570689617,1.1043381570689617,0.655826475240401,1.9031194594489378,6,2.593912738922831e-14,2.504663143554353e-13,0.1018730393844836,0.0067397233608852665,0.46443598968479277,18,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""center"": [50.45038593789557, 50.370798024232585], ""side_length"": 12.5, ""theta"": 1.455759040285497, ""vertices"": [[55.941678291535176, 43.44470906386981], [57.376474898258344, 55.86209037787219], [44.95909358425596, 57.29688698459536], [43.52429697753279, 44.87950567059298]]}, ""random_seed"": 42}",complete
