method,variant,benchmark,case_index,random_seed,cells_per_side,cell_size,runtime_seconds,mixed_cells,reconstructed_cells,paper_fallback_cells,unsupported_cells,unresolved_cells,optimizer_failures,sampled_hausdorff,sampled_reconstruction_to_truth,shared_edge_gap_mean,shared_edge_gap_max,unmatched_crossings,conservation_mean_absolute_residual,conservation_max_absolute_residual,curvature_estimator_mean_absolute_error,curvature_estimator_median_absolute_error,curvature_estimator_max_absolute_error,curvature_estimator_samples,parameters_json,status_message
PLVIRA,PLVIRA,circles,1,41,128,0.78125,0.5539928339999989,100,100,0,0,0,0,0.0012500105542175323,0.0012500105542175323,2.155650730195191e-05,6.866059307242267e-05,0,4.951152335341824e-15,1.088573675644966e-13,0.0003033008912073322,0.0002810225138766137,0.0005197552550775947,100,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.125970746788205, 50.82698808593074], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,2,41,32,3.125,0.12949024999999637,26,26,0,0,0,0,0.14609200994372545,0.14609200994372545,0.019293596972680953,0.17614897556094178,0,6.203502505356267e-15,4.796163466380676e-14,0.01937912717307106,0.005135196442322576,0.1,26,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.849072073431195, 50.34978283666457], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,2,41,64,1.5625,0.25777745900000326,50,50,0,0,0,0,0.001271583007833903,0.0012658519362677382,0.0003402239283973074,0.0013298404048924795,0,1.527490048509883e-14,3.5349501104064984e-13,0.0013212098832527327,0.0011945012125886695,0.003005659053778878,50,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.849072073431195, 50.34978283666457], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,2,41,128,0.78125,0.5594487910000012,102,102,0,0,0,0,0.0012499922751244212,0.0012499922751244212,1.753426261528016e-05,7.720589532311806e-05,0,9.189813209071702e-14,6.6484595606652874e-12,0.0003021500583439108,0.0002815501133398013,0.000480851679225916,102,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.849072073431195, 50.34978283666457], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,3,41,32,3.125,0.14024883300000113,28,28,0,0,0,0,0.1030732689638914,0.1030732689638914,0.03284461148935033,0.14275722471624164,0,1.2726922690323558e-14,1.0502709812953981e-13,0.021392736709327648,0.0042602143922141275,0.1,28,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""center"": [50.51140923471546, 50.60249990849664], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,3,41,64,1.5625,0.27114949999999993,52,52,0,0,0,0,0.0013050815826132565,0.0013031678164967411,0.0004208846589875201,0.002690123994220528,0,2.4892481238662884e-14,4.5430326167661406e-13,0.0013188938228505668,0.0011901111206864476,0.0036642570959450615,52,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""center"": [50.51140923471546, 50.60249990849664], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,3,41,128,0.78125,0.5780186249999986,104,104,0,0,0,0,0.0012499815728564923,0.0012499815728564923,2.1093432709771666e-05,0.00012833016474189662,0,1.6876190615906677e-14,9.347522755831505e-13,0.0003008859615478837,0.00027703431790625926,0.0004938408701969099,104,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""center"": [50.51140923471546, 50.60249990849664], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,4,41,32,3.125,0.13656762499999786,27,27,0,0,0,0,0.1276307369947027,0.1276307369947027,0.04810651601674211,0.16584325233034036,0,1.1345862521099863e-14,8.171241461241152e-14,0.02564779841382862,0.004278569448706332,0.1,27,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""center"": [50.33883591323763, 50.62180640094461], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,4,41,64,1.5625,0.2674496250000047,51,51,0,0,0,0,0.0012970818808265019,0.0012970818808265019,0.00037936561504513776,0.002244282919214413,0,2.8034253839916718e-14,7.553957459549565e-13,0.0013135146709641384,0.0011650522731945223,0.0029737949748618736,51,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""center"": [50.33883591323763, 50.62180640094461], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,circles,4,41,128,0.78125,0.5658215830000017,103,103,0,0,0,0,0.0012498424280407664,0.0012498424280407664,2.3657320331434034e-05,0.00030858258367061353,0,2.1969994930650595e-14,1.852296094284611e-12,0.00030158546928127995,0.0002788592637222864,0.00048257667491241607,103,"{""benchmark"": ""circles"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""center"": [50.33883591323763, 50.62180640094461], ""radius"": 10.0}, ""random_seed"": 41}",complete
PLVIRA,PLVIRA,ellipses,0,42,32,3.125,0.38416983399999793,64,64,0,0,0,0,0.27241208955485907,0.27241208955485907,0.03684920029646832,0.44730730573600397,0,2.0210070596216045e-14,2.255973186038318e-13,0.025342360653987248,0.0040622047259935845,0.2018603284159797,64,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""aspect_ratio"": 1.5, ""center"": [50.773956048555966, 50.43887843975205], ""major_axis"": 30.0, ""minor_axis"": 20.0, ""theta"": 1.3486824587905384}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,0,42,64,1.5625,0.6285363329999996,128,128,0,0,0,0,0.10643052843343297,0.10643052843343297,0.007729583855281108,0.11125921262909699,0,1.023988209627796e-14,2.6978419498391304e-13,0.017220251022845932,0.0005606402531599837,0.46806783707153,128,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""aspect_ratio"": 1.5, ""center"": [50.773956048555966, 50.43887843975205], ""major_axis"": 30.0, ""minor_axis"": 20.0, ""theta"": 1.3486824587905384}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,0,42,128,0.78125,1.301023832999995,258,258,0,0,0,0,0.014439753483870528,0.014439753483870528,0.0005194897601730989,0.014636156839788583,0,7.924839918324514e-14,1.3086476347012876e-11,0.0035210939731864944,0.00016373498962985594,0.2797509707766355,258,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""aspect_ratio"": 1.5, ""center"": [50.773956048555966, 50.43887843975205], ""major_axis"": 30.0, ""minor_axis"": 20.0, ""theta"": 1.3486824587905384}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,1,42,32,3.125,0.29703470900000184,62,62,0,0,0,0,0.11100102719107283,0.11100102719107283,0.013371530556286317,0.0791572048543756,0,3.924347406176539e-14,7.811529201262601e-13,0.0038412189486636745,0.0007647922378235146,0.07762357412550652,62,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""aspect_ratio"": 1.5625, ""center"": [50.69736802905936, 50.09417734788765], ""major_axis"": 30.0, ""minor_axis"": 19.2, ""theta"": 1.532504006290015}, ""random_seed"": 42}",complete
